context_length_tokens,lower_budget_flops,higher_budget_flops,lower_feasible_count,higher_feasible_count,lower_set_is_subset,newly_feasible_count,missing_from_higher_count
2048,10000000000000000000,10000000000000000000000,39,1060,True,1021,0
2048,10000000000000000000000,1000000000000000000000000,1060,1176,True,116,0
4096,10000000000000000000,10000000000000000000000,36,1049,True,1013,0
4096,10000000000000000000000,1000000000000000000000000,1049,1176,True,127,0
8192,10000000000000000000,10000000000000000000000,34,1032,True,998,0
8192,10000000000000000000000,1000000000000000000000000,1032,1176,True,144,0
32768,10000000000000000000,10000000000000000000000,27,969,True,942,0
32768,10000000000000000000000,1000000000000000000000000,969,1176,True,207,0
131072,10000000000000000000,10000000000000000000000,16,793,True,777,0
131072,10000000000000000000000,1000000000000000000000000,793,1176,True,383,0
