scenario_id,budget_flops,context_length_tokens,M0_selected_run_id,M1_selected_run_id,selected_grid_id,selected_N_B,selected_D_B,choice_match,support_feasible,budget_feasible,final_feasible_recomputed,m3_flag_match,budget_flag_match,final_flag_match,cost_fields_match,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_utilization_recomputed,budget_utilization_existing,train_cost_share,quality_cost_share,attention_cost_share,cost_share_sum,hit_support_boundary
C10000000000000000000_L2048,10000000000000000000,2048,169,169,169,0.162405,8.389,True,True,True,True,True,True,True,True,8174493270000000000,0,558045407232000000,8732538677232000000,0.8732538677232,0.8732538677232,0.9360958562156765,0.0,0.06390414378432352,1.0,False
C10000000000000000000000_L2048,10000000000000000000000,2048,1043,1043,1043,6.86104,226.492,True,True,True,True,True,True,True,True,9323824030080000000000,0,636506387120128000000,9960330417200128000000,0.9960330417200128,0.9960330417200128,0.9360958562156765,0.0,0.06390414378432352,1.0,False
C1000000000000000000000000_L2048,1000000000000000000000000,2048,1232,1232,1232,11.965825,299.893,True,True,True,True,True,True,True,True,21530802940350000000000,0,1469836147394560000000,23000639087744560000000,0.02300063908774456,0.02300063908774456,0.9360958562156765,0.0,0.06390414378432352,1.0,True
C10000000000000000000_L4096,10000000000000000000,4096,169,169,169,0.162405,8.389,True,True,True,True,True,True,True,True,8174493270000000000,0,1116090814464000000,9290584084464000000,0.9290584084464,0.9290584084464,0.8798686062881277,0.0,0.12013139371187236,1.0,False
C10000000000000000000000_L4096,10000000000000000000000,4096,1036,1036,1036,6.86104,211.812,True,True,True,True,True,True,True,True,8719503626880000000000,0,1190502895190016000000,9910006522070016000000,0.9910006522070016,0.9910006522070016,0.8798686062881277,0.0,0.12013139371187236,1.0,False
C1000000000000000000000000_L4096,1000000000000000000000000,4096,1232,1232,1232,11.965825,299.893,True,True,True,True,True,True,True,True,21530802940350000000000,0,2939672294789120000000,24470475235139120000000,0.02447047523513912,0.02447047523513912,0.8798686062881277,0.0,0.12013139371187236,1.0,True
C10000000000000000000_L8192,10000000000000000000,8192,168,168,168,0.162405,6.291,True,True,True,True,True,True,True,True,6130139130000000000,0,1673936658432000000,7804075788432000000,0.7804075788432,0.7804075788432,0.7855048177628823,0.0,0.21449518223711772,1.0,False
C10000000000000000000000_L8192,10000000000000000000000,8192,1025,1025,1025,6.86104,188.744,True,True,True,True,True,True,True,True,7769880802560000000000,0,2121695451152384000000,9891576253712384000000,0.9891576253712384,0.9891576253712384,0.7855048177628823,0.0,0.21449518223711772,1.0,False
C1000000000000000000000000_L8192,1000000000000000000000000,8192,1232,1232,1232,11.965825,299.893,True,True,True,True,True,True,True,True,21530802940350000000000,0,5879344589578240000000,27410147529928240000000,0.02741014752992824,0.02741014752992824,0.7855048177628823,0.0,0.21449518223711772,1.0,True
C10000000000000000000_L32768,10000000000000000000,32768,167,167,167,0.162405,4.194,True,True,True,True,True,True,True,True,4086759420000000000,0,4463831089152000000,8550590509152000000,0.8550590509152,0.8550590509152,0.4779505480499618,0.0,0.5220494519500383,1.0,False
C10000000000000000000000_L32768,10000000000000000000000,32768,917,917,917,2.782831,285.213,True,True,True,True,True,True,True,True,4762197468018000000000,0,5201589554400460800000,9963787022418460800000,0.9963787022418461,0.9963787022418461,0.4779505480499618,0.0,0.5220494519500383,1.0,False
C1000000000000000000000000_L32768,1000000000000000000000000,32768,1232,1232,1232,11.965825,299.893,True,True,True,True,True,True,True,True,21530802940350000000000,0,23517378358312960000000,45048181298662960000000,0.04504818129866296,0.04504818129866296,0.4779505480499618,0.0,0.5220494519500383,1.0,True
C10000000000000000000_L131072,10000000000000000000,131072,13,13,13,0.070542,4.194,True,True,True,True,True,True,True,True,1775118888000000000,0,7755612762931200000,9530731650931200000,0.95307316509312,0.95307316509312,0.18625211085725638,0.0,0.8137478891427437,1.0,True
C10000000000000000000000_L131072,10000000000000000000000,131072,834,834,834,2.782831,111.149,True,True,True,True,True,True,True,True,1855853296914000000000,0,8108346777770393600000,9964200074684393600000,0.9964200074684394,0.9964200074684394,0.18625211085725638,0.0,0.8137478891427437,1.0,False
C1000000000000000000000000_L131072,1000000000000000000000000,131072,1232,1232,1232,11.965825,299.893,True,True,True,True,True,True,True,True,21530802940350000000000,0,94069513433251840000000,115600316373601840000000,0.11560031637360184,0.11560031637360184,0.18625211085725638,0.0,0.8137478891427437,1.0,True
