pair_id,pair_type,left_budget_flops,right_budget_flops,left_context_tokens,right_context_tokens,paired_bootstrap_replicates,configuration_change_frequency,delta_log_N_p2_5,delta_log_N_median,delta_log_N_p97_5,delta_log_D_p2_5,delta_log_D_median,delta_log_D_p97_5,delta_training_share_p2_5,delta_training_share_median,delta_training_share_p97_5,cost_share_change_frequency,cost_share_TV_p05_exact,cost_share_TV_median,robust_ND_allocation_change,robust_cost_mix_change,interpretation
T01,adjacent_budget,10000000000000000000,10000000000000000000000,2048,2048,1000,1.0,3.7435210972968527,3.7435210972968527,3.7435210972968527,3.295788300346862,3.295788300346862,3.295788300346862,0.0,0.0,0.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T02,adjacent_budget,10000000000000000000000,1000000000000000000000000,2048,2048,1000,1.0,0.5561956363450279,0.5561956363450279,0.5561956363450279,0.2807161201578312,0.2807161201578312,0.2807161201578312,0.0,0.0,0.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T03,adjacent_budget,10000000000000000000,10000000000000000000000,4096,4096,1000,1.0,3.7435210972968527,3.7435210972968527,3.7435210972968527,3.228777764921985,3.228777764921985,3.228777764921985,0.0,0.0,0.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T04,adjacent_budget,10000000000000000000000,1000000000000000000000000,4096,4096,1000,1.0,0.5561956363450279,0.5561956363450279,0.5561956363450279,0.3477266555827084,0.3477266555827084,0.3477266555827084,0.0,0.0,0.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T05,adjacent_budget,10000000000000000000,10000000000000000000000,8192,8192,1000,1.0,3.7435210972968527,3.7435210972968527,3.7435210972968527,3.4012715589565197,3.4012715589565197,3.4012715589565197,0.0,0.0,0.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T06,adjacent_budget,10000000000000000000000,1000000000000000000000000,8192,8192,1000,1.0,0.5561956363450279,0.5561956363450279,0.5561956363450279,0.4630341448244385,0.4630341448244385,0.4630341448244385,0.0,0.0,0.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T07,adjacent_budget,10000000000000000000,10000000000000000000000,32768,32768,1000,1.0,2.8411308184156017,2.8411308184156017,2.8411308184156017,4.219581337069268,4.219581337069268,4.219581337069268,0.0,0.0,0.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T08,adjacent_budget,10000000000000000000000,1000000000000000000000000,32768,32768,1000,1.0,1.4585859152262788,1.4585859152262788,1.4585859152262788,0.05018947481985382,0.05018947481985382,0.05018947481985382,0.0,0.0,0.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T09,adjacent_budget,10000000000000000000,10000000000000000000000,131072,131072,1000,1.0,3.6750157567329143,3.6750157567329143,3.6750157567329143,3.2772167110389034,3.2772167110389034,3.2772167110389034,0.0,0.0,0.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T10,adjacent_budget,10000000000000000000000,1000000000000000000000000,131072,131072,1000,1.0,1.4585859152262788,1.4585859152262788,1.4585859152262788,0.9925541008502192,0.9925541008502192,0.9925541008502192,0.0,0.0,0.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T11,adjacent_context,10000000000000000000,10000000000000000000,2048,4096,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05622724992754884,-0.05622724992754884,-0.05622724992754884,1.0,0.05622724992754884,0.05622724992754884,False,True,成本构成改变；未达N/D配置稳健切换门槛
T12,adjacent_context,10000000000000000000,10000000000000000000,4096,8192,1000,1.0,0.0,0.0,0.0,-0.28780128327626486,-0.28780128327626486,-0.28780128327626486,-0.09436378852524537,-0.09436378852524537,-0.09436378852524537,1.0,0.09436378852524537,0.09436378852524537,True,True,Bootstrap稳健的N/D配置与成本构成改变
