pair_id,pair_type,left_scenario_id,right_scenario_id,left_budget_flops,right_budget_flops,left_context_tokens,right_context_tokens,paired_bootstrap_replicates,configuration_switch_rate,delta_log_N_p2_5,delta_log_N_median,delta_log_N_p97_5,delta_log_D_p2_5,delta_log_D_median,delta_log_D_p97_5,robust_configuration_switch,robust_switch_threshold,switch_definition
T01,adjacent_budget,B1e19_CTX2048,B1e22_CTX2048,10000000000000000000,10000000000000000000000,2048,2048,1000,1.000000,3.7435210972968527,3.7435210972968527,3.7435210972968527,3.295788300346862,3.295788300346862,3.295788300346862,true,0.95,paired-bootstrap frequency of a changed selected N/D grid point >= 0.95
T02,adjacent_budget,B1e22_CTX2048,B1e24_CTX2048,10000000000000000000000,1000000000000000000000000,2048,2048,1000,1.000000,0.5561956363450279,0.5561956363450279,0.5561956363450279,0.2807161201578312,0.2807161201578312,0.2807161201578312,true,0.95,paired-bootstrap frequency of a changed selected N/D grid point >= 0.95
T03,adjacent_budget,B1e19_CTX4096,B1e22_CTX4096,10000000000000000000,10000000000000000000000,4096,4096,1000,1.000000,3.7435210972968527,3.7435210972968527,3.7435210972968527,3.228777764921985,3.228777764921985,3.228777764921985,true,0.95,paired-bootstrap frequency of a changed selected N/D grid point >= 0.95
T04,adjacent_budget,B1e22_CTX4096,B1e24_CTX4096,10000000000000000000000,1000000000000000000000000,4096,4096,1000,1.000000,0.5561956363450279,0.5561956363450279,0.5561956363450279,0.3477266555827084,0.3477266555827084,0.3477266555827084,true,0.95,paired-bootstrap frequency of a changed selected N/D grid point >= 0.95
T05,adjacent_budget,B1e19_CTX8192,B1e22_CTX8192,10000000000000000000,10000000000000000000000,8192,8192,1000,1.000000,3.7435210972968527,3.7435210972968527,3.7435210972968527,3.4012715589565197,3.4012715589565197,3.4012715589565197,true,0.95,paired-bootstrap frequency of a changed selected N/D grid point >= 0.95
T06,adjacent_budget,B1e22_CTX8192,B1e24_CTX8192,10000000000000000000000,1000000000000000000000000,8192,8192,1000,1.000000,0.5561956363450279,0.5561956363450279,0.5561956363450279,0.4630341448244385,0.4630341448244385,0.4630341448244385,true,0.95,paired-bootstrap frequency of a changed selected N/D grid point >= 0.95
T07,adjacent_budget,B1e19_CTX32768,B1e22_CTX32768,10000000000000000000,10000000000000000000000,32768,32768,1000,1.000000,2.8411308184156017,2.8411308184156017,2.8411308184156017,4.219581337069268,4.219581337069268,4.219581337069268,true,0.95,paired-bootstrap frequency of a changed selected N/D grid point >= 0.95
T08,adjacent_budget,B1e22_CTX32768,B1e24_CTX32768,10000000000000000000000,1000000000000000000000000,32768,32768,1000,1.000000,1.4585859152262788,1.4585859152262788,1.4585859152262788,0.05018947481985382,0.05018947481985382,0.05018947481985382,true,0.95,paired-bootstrap frequency of a changed selected N/D grid point >= 0.95
T09,adjacent_budget,B1e19_CTX131072,B1e22_CTX131072,10000000000000000000,10000000000000000000000,131072,131072,1000,1.000000,3.6750157567329143,3.6750157567329143,3.6750157567329143,3.2772167110389034,3.2772167110389034,3.2772167110389034,true,0.95,paired-bootstrap frequency of a changed selected N/D grid point >= 0.95
T10,adjacent_budget,B1e22_CTX131072,B1e24_CTX131072,10000000000000000000000,1000000000000000000000000,131072,131072,1000,1.000000,1.4585859152262788,1.4585859152262788,1.4585859152262788,0.9925541008502192,0.9925541008502192,0.9925541008502192,true,0.95,paired-bootstrap frequency of a changed selected N/D grid point >= 0.95
