model_form,formula,fit_scope,omitted_trajectory,training_rows,training_trajectories,successful_starts,attempted_starts,training_sse,E,A,alpha,B,beta,gamma
m0_current,L = E + A*N^(-alpha) + B*D^(-beta),full,,1176,8,reused_authoritative_Q2_fit,reused_authoritative_Q2_fit,,1.689797562928721,0.353980320665,0.33997658189675806,1.24030558354,0.27987812854769506,
m0_no_floor,L = A*N^(-alpha) + B*D^(-beta); E=0,full,,1176,8,16,16,2.4841792301745755,,2.07636705586,0.06619892899901592,1.26019357461,0.27340676581382606,
m0_shared_exponent,L = E + A*N^(-gamma) + B*D^(-gamma); alpha=beta=gamma,full,,1176,8,16,16,0.08462683001355145,1.6546794523184443,0.425106522029,,1.20524757832,,0.29318272098141923
m0_current,L = E + A*N^(-alpha) + B*D^(-beta),leave_one_trajectory_out,EleutherAI/pythia-70m,1029,7,reused_authoritative_Q2_fit,reused_authoritative_Q2_fit,,1.6898361849294783,0.353891727613,0.3400666768449979,1.24036125785,0.279860837287173,
m0_no_floor,L = A*N^(-alpha) + B*D^(-beta); E=0,leave_one_trajectory_out,EleutherAI/pythia-70m,1029,7,16,16,0.9215344555881899,,2.07047230531,0.056955864407438626,1.24716915756,0.2776233091569146,
m0_shared_exponent,L = E + A*N^(-gamma) + B*D^(-gamma); alpha=beta=gamma,leave_one_trajectory_out,EleutherAI/pythia-70m,1029,7,16,16,0.035262614327216564,1.640011387085189,0.4237351488,,1.22357117133,,0.2861290544719239
m0_current,L = E + A*N^(-alpha) + B*D^(-beta),leave_one_trajectory_out,EleutherAI/pythia-160m,1029,7,reused_authoritative_Q2_fit,reused_authoritative_Q2_fit,,1.689836816171268,0.35395059783,0.3399935234602421,1.24027003757,0.2798813672614875,
m0_no_floor,L = A*N^(-alpha) + B*D^(-beta); E=0,leave_one_trajectory_out,EleutherAI/pythia-160m,1029,7,16,16,2.4586496103764186,,2.07538552236,0.06685400512763326,1.26361146348,0.27230627111260003,
m0_shared_exponent,L = E + A*N^(-gamma) + B*D^(-gamma); alpha=beta=gamma,leave_one_trajectory_out,EleutherAI/pythia-160m,1029,7,16,16,0.07901881048497018,1.657401620839162,0.42472554163,,1.20274912496,,0.2941523967596141
m0_current,L = E + A*N^(-alpha) + B*D^(-beta),leave_one_trajectory_out,EleutherAI/pythia-410m,1029,7,reused_authoritative_Q2_fit,reused_authoritative_Q2_fit,,1.6898126399461255,0.353982487931,0.3399750179803761,1.24028441884,0.2798853764000111,
m0_no_floor,L = A*N^(-alpha) + B*D^(-beta); E=0,leave_one_trajectory_out,EleutherAI/pythia-410m,1029,7,16,16,2.0643796896134177,,2.08356215844,0.06696827512491164,1.26004068152,0.27345596477501893,
m0_shared_exponent,L = E + A*N^(-gamma) + B*D^(-gamma); alpha=beta=gamma,leave_one_trajectory_out,EleutherAI/pythia-410m,1029,7,16,16,0.06799376511812692,1.6513238495698377,0.427775825365,,1.20788520709,,0.29215241822803456
m0_current,L = E + A*N^(-alpha) + B*D^(-beta),leave_one_trajectory_out,EleutherAI/pythia-1b,1029,7,reused_authoritative_Q2_fit,reused_authoritative_Q2_fit,,1.6898103817749437,0.354003321296,0.3399583797878746,1.24029223618,0.2798961834741085,
m0_no_floor,L = A*N^(-alpha) + B*D^(-beta); E=0,leave_one_trajectory_out,EleutherAI/pythia-1b,1029,7,16,16,2.103010792088389,,2.08423552515,0.06575708581186503,1.25906412948,0.2737823076656482,
m0_shared_exponent,L = E + A*N^(-gamma) + B*D^(-gamma); alpha=beta=gamma,leave_one_trajectory_out,EleutherAI/pythia-1b,1029,7,16,16,0.07326896725601569,1.655647083078496,0.424945816755,,1.2056584213,,0.29303575504920387
m0_current,L = E + A*N^(-alpha) + B*D^(-beta),leave_one_trajectory_out,EleutherAI/pythia-1.4b,1029,7,reused_authoritative_Q2_fit,reused_authoritative_Q2_fit,,1.6897654265202875,0.353987259347,0.3399707805764866,1.2403217723,0.2798623635842281,
m0_no_floor,L = A*N^(-alpha) + B*D^(-beta); E=0,leave_one_trajectory_out,EleutherAI/pythia-1.4b,1029,7,16,16,2.2054198101061977,,2.08268994076,0.0655382776592,1.25982452377,0.2735148530493678,
m0_shared_exponent,L = E + A*N^(-gamma) + B*D^(-gamma); alpha=beta=gamma,leave_one_trajectory_out,EleutherAI/pythia-1.4b,1029,7,16,16,0.0767042062623182,1.6576672677686637,0.423806511354,,1.20413596287,,0.293607840664999
