model_form,omitted_trajectory,budget_flops,context_length_tokens,original_full_m0_run_id,same_form_full_fit_run_id,selected_run_id,selected_grid_id,selected_N_B,selected_D_B,predicted_loss,cost_flops,feasible_grid_points,selected_trajectory_id,matches_original_full_m0,matches_same_form_full_fit,selected_point_is_omitted_trajectory,selected_N_outside_training_range,training_N_min_B,training_N_max_B
m0_current,EleutherAI/pythia-70m,10000000000000000000,2048,169,169,169,169,0.162405,8.389,3.0304352716,8.73253867723e+18,39,EleutherAI/pythia-160m,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,10000000000000000000,4096,169,169,169,169,0.162405,8.389,3.0304352716,9.29058408446e+18,36,EleutherAI/pythia-160m,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,10000000000000000000,8192,168,168,168,168,0.162405,6.291,3.08780464423,7.80407578843e+18,34,EleutherAI/pythia-160m,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,10000000000000000000,32768,167,167,167,167,0.162405,4.194,3.17688602757,8.55059050915e+18,27,EleutherAI/pythia-160m,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,10000000000000000000,131072,13,13,13,13,0.070542,4.194,3.39217486059,9.53073165093e+18,16,EleutherAI/pythia-70m,True,True,True,True,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,10000000000000000000000,2048,1043,1043,1043,1043,6.86104,226.492,2.14560955841,9.9603304172e+21,1060,EleutherAI/pythia-6.9b,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,10000000000000000000000,4096,1036,1036,1036,1036,6.86104,211.812,2.15075739799,9.91000652207e+21,1049,EleutherAI/pythia-6.9b,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,10000000000000000000000,8192,1025,1025,1025,1025,6.86104,188.744,2.15984462887,9.89157625371e+21,1032,EleutherAI/pythia-6.9b,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,10000000000000000000000,32768,917,917,917,917,2.782831,285.213,2.19464946176,9.96378702242e+21,969,EleutherAI/pythia-2.8b,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,10000000000000000000000,131072,834,834,834,834,2.782831,111.149,2.27158551414,9.96420007468e+21,793,EleutherAI/pythia-2.8b,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,1000000000000000000000000,2048,1232,1232,1232,1232,11.965825,299.893,2.09338203673,2.30006390877e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,1000000000000000000000000,4096,1232,1232,1232,1232,11.965825,299.893,2.09338203673,2.44704752351e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,1000000000000000000000000,8192,1232,1232,1232,1232,11.965825,299.893,2.09338203673,2.74101475299e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,1000000000000000000000000,32768,1232,1232,1232,1232,11.965825,299.893,2.09338203673,4.50481812987e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.162405,11.965825
m0_current,EleutherAI/pythia-70m,1000000000000000000000000,131072,1232,1232,1232,1232,11.965825,299.893,2.09338203673,1.15600316374e+23,1176,EleutherAI/pythia-12b,True,True,False,False,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,10000000000000000000,2048,169,21,21,21,0.070542,20.972,2.94380900955,9.48240597911e+18,39,EleutherAI/pythia-70m,False,True,True,True,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,10000000000000000000,4096,169,20,20,20,0.070542,18.874,2.95971957257,9.07914908079e+18,36,EleutherAI/pythia-70m,False,True,True,True,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,10000000000000000000,8192,168,19,19,19,0.070542,16.777,2.97805747056,9.03991757075e+18,34,EleutherAI/pythia-70m,False,True,True,True,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,10000000000000000000,32768,167,16,16,16,0.070542,10.486,3.05750498203,9.28594075288e+18,27,EleutherAI/pythia-70m,False,True,True,True,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,10000000000000000000,131072,13,13,13,13,0.070542,4.194,3.24566604435,9.53073165093e+18,16,EleutherAI/pythia-70m,True,True,True,True,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,10000000000000000000000,2048,1043,1151,1151,1151,11.965825,130.023,2.12038954815,9.97226376109e+21,1060,EleutherAI/pythia-12b,False,True,False,False,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,10000000000000000000000,4096,1036,1147,1147,1147,11.965825,121.635,2.12642271039,9.92509413433e+21,1049,EleutherAI/pythia-12b,False,True,False,False,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,10000000000000000000000,8192,1025,1141,1141,1141,11.965825,109.052,2.13654648652,9.96732637452e+21,1032,EleutherAI/pythia-12b,False,True,False,False,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,10000000000000000000000,32768,917,1120,1120,1120,11.965825,65.012,2.18889995288,9.76572431697e+21,969,EleutherAI/pythia-12b,False,True,False,False,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,10000000000000000000000,131072,834,956,834,834,2.782831,111.149,2.29046586619,9.96420007468e+21,793,EleutherAI/pythia-2.8b,True,False,False,False,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,1000000000000000000000000,2048,1232,1232,1232,1232,11.965825,299.893,2.05353508735,2.30006390877e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,1000000000000000000000000,4096,1232,1232,1232,1232,11.965825,299.893,2.05353508735,2.44704752351e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.162405,11.965825
m0_no_floor,EleutherAI/pythia-70m,1000000000000000000000000,8192,1232,1232,1232,1232,11.965825,299.893,2.05353508735,2.74101475299e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.162405,11.965825
