publication_year,Confidence,record_count,training_compute_scalar_n,training_compute_median_FLOP,dataset_size_scalar_n,dataset_size_median_tokens,parameter_count_scalar_n,parameter_count_median
1950,Confident,1,1,40.0,1,40.0,1,40.0
1952,<blank>,1,0,,0,,1,40.0
1954,Unknown,1,0,,0,,0,
1955,<blank>,1,0,,1,2.0,1,225.0
1955,Unknown,1,0,,0,,0,
1957,Likely,1,1,694894.9377361819,1,100.0,1,1000.0
1959,<blank>,1,0,,1,180.0,1,2625.0
1959,Likely,1,1,428400000.0,0,,1,16.0
1959,Speculative,1,1,600000000.0,0,,0,
1960,Confident,1,1,6600.0,1,100.0,1,17.0
1960,Speculative,1,1,720000000.0,1,100.0,1,1000.0
1961,Unknown,1,0,,0,,0,
1962,Speculative,1,1,1559250.0,1,500.0,0,
1962,Unknown,1,0,,1,256.0,0,
1963,Speculative,1,1,22500000.0,0,,0,
1963,Unknown,2,0,,0,,0,
1965,Speculative,1,1,1080000.0,0,,0,
1966,Likely,1,1,105917060.0,1,417.0,1,2061.0
1967,<blank>,1,0,,0,,1,40.0
1968,Unknown,2,0,,1,6000.0,0,
1969,Confident,1,0,,0,,1,2450.0
1970,Unknown,1,0,,0,,0,
1972,Unknown,1,0,,0,,0,
1973,<blank>,1,0,,0,,1,21.0
1973,Confident,1,0,,1,314.0,1,357.0
1975,Confident,1,1,5184000.0,1,5.0,1,21600.0
1976,Confident,1,0,,1,12000800.0,0,
1976,Unknown,1,0,,0,,0,
1980,Confident,1,1,273738240.0,1,5.0,1,1140576.0
1981,<blank>,1,0,,1,4000.0,1,4096.0
1982,<blank>,1,0,,0,,1,9900.0
1983,Likely,1,1,324000000.0,1,500000.0,1,324.0
1984,Speculative,1,0,,1,5.0,1,9315.0
1984,Unknown,1,0,,0,,0,
1986,<blank>,1,0,,0,,1,211600.0
1986,Confident,2,2,531360000.0,2,102.0,2,576.0
1986,Unknown,3,0,,2,64.0,0,
1987,Confident,3,3,27664065000.0,3,5000.0,3,18629.0
1988,<blank>,1,0,,0,,1,110.0
1988,Confident,1,1,296425000.0,1,12600.0,1,10000.0
1988,Unknown,2,0,,0,,0,
1989,Confident,8,6,18774288000.0,6,10040.0,6,2809.0
1989,Unknown,2,0,,2,101023.0,0,
1990,Confident,5,3,35811936000.0,5,7242.0,4,14508.0
1990,Likely,1,0,,1,80.0,1,1640.0
1991,<blank>,2,0,,1,177800.0,1,429409.0
1991,Confident,1,1,75474000000.0,1,25000.0,1,8386.0
1992,Confident,2,1,1403117760.0,2,1024.0,1,1166.0
1992,Likely,2,1,53460000.0,2,14634.0,2,1586.0
1992,Speculative,1,1,18232157622832.703,1,6300000.0,1,25000.0
1993,<blank>,1,0,,1,28850104.0,1,1658364.0
1993,Confident,2,1,17534400000.0,1,4000.0,1,5620.0
1993,Likely,1,1,12869570138112.0,1,7701.0,1,744.0
1993,Speculative,1,1,5292000000.0,0,,0,
1994,<blank>,2,0,,0,,1,2447124.0
1994,Confident,1,1,18621900000000.0,1,600000.0,1,206910.0
1994,Likely,2,2,229065600000.0,2,896040.0,2,192944.0
1994,Speculative,2,2,429405820478.0,2,4800750.0,2,38348.5
1995,<blank>,3,0,,2,60000.0,1,100000000.0
1995,Likely,1,1,195544800000.0,1,2000.0,1,432800.0
1995,Unknown,1,0,,0,,0,
1996,<blank>,1,0,,1,150279.0,0,
1996,Confident,3,2,453796608000.0,3,23750.0,2,10029.5
1997,<blank>,3,0,,3,142910.0,1,13000.0
1997,Confident,2,2,15771715800000.0,2,491000.0,2,21259.5
1997,Speculative,1,0,,0,,1,8000.0
1997,Unknown,1,0,,0,,0,
1998,<blank>,3,1,226690156032.01834,0,,1,7512.0
1998,Confident,1,1,2810937600000.0,1,60000.0,1,60000.0
1999,<blank>,3,0,,3,800000.0,1,276.0
1999,Likely,2,2,5938800000000.0,2,48750.0,2,89390.0
1999,Speculative,1,1,5443200.0,1,2800.0,1,324.0
1999,Unknown,1,0,,0,,0,
2000,<blank>,2,0,,1,99232.0,1,17.0
2000,Confident,2,2,3195405000000000.0,2,16027000.0,2,5416145.0
2000,Unknown,1,0,,1,30000.0,0,
2001,Confident,1,0,,0,,0,
2001,Likely,1,1,63000000000000.0,1,753616.0,1,12000.0
2001,Unknown,2,0,,1,5000.0,0,
2002,<blank>,3,0,,3,58073.0,0,
2002,Unknown,3,0,,1,929000.0,0,
2003,<blank>,3,0,,2,10000200.0,2,4589670.5
2003,Confident,2,2,899472730000000.0,2,13994528.0,2,8014248.5
2003,Speculative,1,0,,1,2020.0,1,100.0
2003,Unknown,4,0,,0,,0,
