publication_year,record_count,calendar_coverage_status,training_compute_scalar_n,training_compute_median_FLOP,training_compute_p90_FLOP,training_compute_confident_scalar_n,dataset_size_scalar_n,dataset_size_median_tokens,dataset_size_p90_tokens,dataset_size_confident_scalar_n,parameter_count_scalar_n,parameter_count_median,parameter_count_p90,parameter_count_confident_scalar_n,confidence_confident_n,confidence_likely_n,confidence_unknown_n,confidence_speculative_n,confidence_blank_n,open_weights_yes_n,open_weights_no_n,open_weights_unknown_n,numerical_format_counts,estimation_method_counts,cutoff,summary_scope,smoke_run
1950,1,calendar_year_ended_before_cutoff,1,40.0,40.0,1,1,40.0,40.0,1,1,40.0,40.0,1,1,0,0,0,0,0,0,1,"{""<blank>"": 1}","{""Other"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1952,1,calendar_year_ended_before_cutoff,0,,,0,0,,,0,1,40.0,40.0,0,0,0,0,0,1,0,0,1,"{""<blank>"": 1}","{""<blank>"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1954,1,calendar_year_ended_before_cutoff,0,,,0,0,,,0,0,,,0,0,0,1,0,0,0,0,1,"{""<blank>"": 1}","{""<blank>"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1955,2,calendar_year_ended_before_cutoff,0,,,0,1,2.0,2.0,0,1,225.0,225.0,0,0,0,1,0,1,0,0,2,"{""<blank>"": 2}","{""<blank>"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1957,1,calendar_year_ended_before_cutoff,1,694894.9377361819,694894.9377361819,0,1,100.0,100.0,0,1,1000.0,1000.0,0,0,1,0,0,0,0,0,1,"{""<blank>"": 1}","{""Third-party estimation"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1959,3,calendar_year_ended_before_cutoff,2,514200000.0,582840000.0,0,1,180.0,180.0,0,2,1320.5,2364.1,0,0,1,0,1,1,0,0,3,"{""<blank>"": 3}","{""<blank>"": 2, ""Hardware"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1960,2,calendar_year_ended_before_cutoff,2,360003300.0,648000660.0,1,2,100.0,100.0,1,2,508.5,901.7,1,1,0,0,1,0,0,0,2,"{""<blank>"": 2}","{""Hardware"": 1, ""Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1961,1,calendar_year_ended_before_cutoff,0,,,0,0,,,0,0,,,0,0,0,1,0,0,0,0,1,"{""<blank>"": 1}","{""<blank>"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1962,2,calendar_year_ended_before_cutoff,1,1559250.0,1559250.0,0,2,378.0,475.6,0,0,,,0,0,0,1,1,0,0,0,2,"{""<blank>"": 2}","{""<blank>"": 1, ""Hardware"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1963,3,calendar_year_ended_before_cutoff,1,22500000.0,22500000.0,0,0,,,0,0,,,0,0,0,2,1,0,0,0,3,"{""<blank>"": 3}","{""<blank>"": 2, ""Hardware"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1965,1,calendar_year_ended_before_cutoff,1,1080000.0,1080000.0,0,0,,,0,0,,,0,0,0,0,1,0,0,0,1,"{""<blank>"": 1}","{""Hardware"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1966,1,calendar_year_ended_before_cutoff,1,105917060.0,105917060.0,0,1,417.0,417.0,0,1,2061.0,2061.0,0,0,1,0,0,0,0,0,1,"{""<blank>"": 1}","{""Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1967,1,calendar_year_ended_before_cutoff,0,,,0,0,,,0,1,40.0,40.0,0,0,0,0,0,1,0,0,1,"{""<blank>"": 1}","{""<blank>"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1968,2,calendar_year_ended_before_cutoff,0,,,0,1,6000.0,6000.0,0,0,,,0,0,0,2,0,0,0,0,2,"{""<blank>"": 2}","{""<blank>"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1969,1,calendar_year_ended_before_cutoff,0,,,0,0,,,0,1,2450.0,2450.0,1,1,0,0,0,0,0,0,1,"{""<blank>"": 1}","{""<blank>"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1970,1,calendar_year_ended_before_cutoff,0,,,0,0,,,0,0,,,0,0,0,1,0,0,0,0,1,"{""<blank>"": 1}","{""<blank>"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1972,1,calendar_year_ended_before_cutoff,0,,,0,0,,,0,0,,,0,0,0,1,0,0,0,1,0,"{""<blank>"": 1}","{""<blank>"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1973,2,calendar_year_ended_before_cutoff,0,,,0,1,314.0,314.0,1,2,189.0,323.4,1,1,0,0,0,1,0,0,2,"{""<blank>"": 2}","{""<blank>"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1975,1,calendar_year_ended_before_cutoff,1,5184000.0,5184000.0,1,1,5.0,5.0,1,1,21600.0,21600.0,1,1,0,0,0,0,0,0,1,"{""<blank>"": 1}","{""Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1976,2,calendar_year_ended_before_cutoff,0,,,0,1,12000800.0,12000800.0,1,0,,,0,1,0,1,0,0,0,1,1,"{""<blank>"": 2}","{""<blank>"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1980,1,calendar_year_ended_before_cutoff,1,273738240.0,273738240.0,1,1,5.0,5.0,1,1,1140576.0,1140576.0,1,1,0,0,0,0,0,0,1,"{""<blank>"": 1}","{""Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1981,1,calendar_year_ended_before_cutoff,0,,,0,1,4000.0,4000.0,0,1,4096.0,4096.0,0,0,0,0,0,1,0,0,1,"{""<blank>"": 1}","{""<blank>"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1982,1,calendar_year_ended_before_cutoff,0,,,0,0,,,0,1,9900.0,9900.0,0,0,0,0,0,1,0,0,1,"{""<blank>"": 1}","{""<blank>"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1983,1,calendar_year_ended_before_cutoff,1,324000000.0,324000000.0,0,1,500000.0,500000.0,0,1,324.0,324.0,0,0,1,0,0,0,0,0,1,"{""<blank>"": 1}","{""Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1984,2,calendar_year_ended_before_cutoff,0,,,0,1,5.0,5.0,0,1,9315.0,9315.0,0,0,0,1,1,0,0,0,2,"{""<blank>"": 2}","{""<blank>"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1986,6,calendar_year_ended_before_cutoff,2,531360000.0,645408000.0,2,4,82.0,102.8,2,3,720.0,169424.0,2,2,0,3,0,1,0,0,6,"{""<blank>"": 6}","{""<blank>"": 4, ""Operation counting"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1987,3,calendar_year_ended_before_cutoff,3,27664065000.0,28195215048.0,3,3,5000.0,5096.0,3,3,18629.0,18629.0,3,3,0,0,0,0,0,0,3,"{""<blank>"": 3}","{""Operation counting"": 3}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1988,4,calendar_year_ended_before_cutoff,1,296425000.0,296425000.0,1,1,12600.0,12600.0,1,2,5055.0,9011.0,1,1,0,2,0,1,0,1,3,"{""<blank>"": 4}","{""<blank>"": 3, ""Hardware"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1989,10,calendar_year_ended_before_cutoff,6,18774288000.0,838889027220.0,6,8,10040.0,98639.99999999997,6,6,2809.0,23193.5,6,8,0,2,0,0,0,0,10,"{""<blank>"": 10}","{""<blank>"": 4, ""Hardware"": 2, ""Operation counting"": 4}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1990,6,calendar_year_ended_before_cutoff,3,35811936000.0,70182547200.0,3,6,3661.0,340500.0,5,5,1640.0,54756.0,4,5,1,0,0,0,0,0,6,"{""<blank>"": 6}","{""<blank>"": 3, ""Operation counting"": 3}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1991,3,calendar_year_ended_before_cutoff,1,75474000000.0,75474000000.0,1,2,101400.0,162520.0,1,2,218897.5,387306.7,1,1,0,0,0,2,0,0,3,"{""<blank>"": 3}","{""<blank>"": 2, ""Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
