index_variant,n_models,mean_0_100,median_0_100,sd_0_100,p10_0_100,p90_0_100,spearman_vs_primary,mean_abs_difference_vs_primary,index_basis,note
"Primary: six families, equal family weights",789,52.60230891446282,55.87805796351008,24.09716425285712,17.923995612613396,84.73714990893987,,,within-leaf-task percentile rank; MATH-version rows use separate cohorts,Percentile-index variants are on a 0-100 relative-rank scale. Raw-accuracy row is a separate scale sensitivity. MATH-version cohorts are not directly comparable.
All seven families incl. ARC,0,,,,,,,,within-leaf-task percentile rank; MATH-version rows use separate cohorts,Percentile-index variants are on a 0-100 relative-rank scale. Raw-accuracy row is a separate scale sensitivity. MATH-version cohorts are not directly comparable.
"Core six families, all 39 leaf tasks equal weight",789,52.46969920375063,55.37546416602743,24.055693793901106,18.54693421616519,85.80820824341545,0.9836371424696585,2.988040269297194,within-leaf-task percentile rank; MATH-version rows use separate cohorts,Percentile-index variants are on a 0-100 relative-rank scale. Raw-accuracy row is a separate scale sensitivity. MATH-version cohorts are not directly comparable.
"Core six families, raw accuracy equal-family mean",789,36.58590327716637,37.6812491848392,9.91769408512222,22.7940470854528,49.648918211772944,0.9822502124139768,,raw C8 accuracy family mean,Percentile-index variants are on a 0-100 relative-rank scale. Raw-accuracy row is a separate scale sensitivity. MATH-version cohorts are not directly comparable.
IFEval sensitivity: prompt_level_strict_acc,789,52.595325844914946,56.09309915860965,24.101891760306046,17.858895338472234,84.67590104417047,0.9996912585415436,0.27079179861758484,within-leaf-task percentile rank; MATH-version rows use separate cohorts,Percentile-index variants are on a 0-100 relative-rank scale. Raw-accuracy row is a separate scale sensitivity. MATH-version cohorts are not directly comparable.
IFEval sensitivity: inst_level_loose_acc,789,52.576128222882886,55.71195776450679,24.105111393324304,17.82966349006524,84.83986954515711,0.9997649563057058,0.24596116715024458,within-leaf-task percentile rank; MATH-version rows use separate cohorts,Percentile-index variants are on a 0-100 relative-rank scale. Raw-accuracy row is a separate scale sensitivity. MATH-version cohorts are not directly comparable.
IFEval sensitivity: prompt_level_loose_acc,789,52.57806602468243,56.1501959208393,24.12085171836454,17.935281841806937,84.69653371954578,0.9995709453939663,0.36267735541845475,within-leaf-task percentile rank; MATH-version rows use separate cohorts,Percentile-index variants are on a 0-100 relative-rank scale. Raw-accuracy row is a separate scale sensitivity. MATH-version cohorts are not directly comparable.
MATH Hard v1.0 replacement; separate cohort,551,50.624871506924215,51.43840459085701,19.092885261784154,21.92645861473632,77.4467568964556,,,within-leaf-task percentile rank; MATH-version rows use separate cohorts,Percentile-index variants are on a 0-100 relative-rank scale. Raw-accuracy row is a separate scale sensitivity. MATH-version cohorts are not directly comparable.
MATH Hard v3.0 replacement; separate cohort,475,45.10653745066891,48.427792834418405,22.526013063562324,16.896813852312828,72.6909873123675,,,within-leaf-task percentile rank; MATH-version rows use separate cohorts,Percentile-index variants are on a 0-100 relative-rank scale. Raw-accuracy row is a separate scale sensitivity. MATH-version cohorts are not directly comparable.
Primary with C8 fallback excluded,788,52.583248145222804,55.86536071178765,24.106516511365182,17.91588676365294,84.73890672818631,1.0,0.0,within-leaf-task percentile rank; MATH-version rows use separate cohorts,Percentile-index variants are on a 0-100 relative-rank scale. Raw-accuracy row is a separate scale sensitivity. MATH-version cohorts are not directly comparable.
Primary within C2 known Open Weights=Yes,119,64.53119116352399,72.81651958236408,22.373078863055344,28.975358052663644,86.78052694235998,1.0,0.0,within-leaf-task percentile rank; MATH-version rows use separate cohorts,Percentile-index variants are on a 0-100 relative-rank scale. Raw-accuracy row is a separate scale sensitivity. MATH-version cohorts are not directly comparable.
