registry_id,model_name_raw,version_match_status,strict_version_confirmed,c2_epoch_open_weights_raw,c2_epoch_open_weights_status,c1_hub_license_raw,c1_license_field_status,license_terms_independently_verified,research_reproduction_permission_status
C8::0-hero_Matter-0.2-7B-DPO,0-hero/Matter-0.2-7B-DPO,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-1.5-34B,01-ai/Yi-1.5-34B,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-1.5-34B-32K,01-ai/Yi-1.5-34B-32K,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-1.5-34B-Chat,01-ai/Yi-1.5-34B-Chat,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-1.5-34B-Chat-16K,01-ai/Yi-1.5-34B-Chat-16K,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-1.5-6B,01-ai/Yi-1.5-6B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-1.5-6B-Chat,01-ai/Yi-1.5-6B-Chat,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-1.5-9B,01-ai/Yi-1.5-9B,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-1.5-9B-32K,01-ai/Yi-1.5-9B-32K,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B-Chat,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-1.5-9B-Chat-16K,01-ai/Yi-1.5-9B-Chat-16K,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-34B,01-ai/Yi-34B,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-34B-200K,01-ai/Yi-34B-200K,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-34B-Chat,01-ai/Yi-34B-Chat,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-6B,01-ai/Yi-6B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-6B-200K,01-ai/Yi-6B-200K,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-6B-Chat,01-ai/Yi-6B-Chat,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-9B,01-ai/Yi-9B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-9B-200K,01-ai/Yi-9B-200K,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::01-ai_Yi-Coder-9B-Chat,01-ai/Yi-Coder-9B-Chat,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::1-800-LLMs_Qwen-2.5-14B-Hindi,1-800-LLMs/Qwen-2.5-14B-Hindi,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct,1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::1024m_PHI-4-Hindi,1024m/PHI-4-Hindi,source_version_missing,False,Yes,Yes,mit,recorded_unverified,False,not_assessed
C8::1024m_QWEN-14B-B100,1024m/QWEN-14B-B100,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::152334H_miqu-1-70b-sf,152334H/miqu-1-70b-sf,source_version_missing,False,,unknown,,blank,False,not_assessed
