source_table,source_row_1based,Model,Loss_Source,Loss_Comparability,source_model_family_hint,N_params_B,D_tokens_B,Val_Loss,LB_Average,LB_IFEval,LB_BBH,LB_MATH,LB_GPQA,LB_MUSR,LB_MMLU_PRO,high_comparability_label,loss_finite,lb_average_finite,all_lb_finite,high_paired_finite,content_key_sha256,cross_table_duplicate,pooled_duplicate_rank,kept_in_pooled_unique_table,model_identity_status,loss_unit_status,evaluation_protocol_status,benchmark_definition_status
C5,2,EleutherAI/pythia-160m,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",Pythia (source-label hint; version/family independence unverified),0.162405,299.893,2.5978,5.730394616916023,18.155161637787735,2.198832279508135,0.906344410876133,1.1185682326621946,10.675520833333332,1.3279403073286051,True,True,True,True,True,79dca04d9f79779a889f51d5418964f31b8c7830d40ad8d2eca20ae1104135e6,True,1,True,model name present; revision/SHA and leaderboard submission/run ID unavailable,unknown in bridge CSV; must be source-verified,unknown beyond supplied comparability label,metric names present; evaluation-set/aggregation details not row-verified
C5,3,EleutherAI/pythia-410m,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",Pythia (source-label hint; version/family independence unverified),0.409009,299.893,2.4209,5.227072311484412,21.954525104500505,2.7154281203357473,0.9818731117824773,1.230425055928408,3.0598958333333326,1.4202866430260035,True,True,True,True,True,6d015bffee106d0b37be2239bdc99b21a33f4f3675fd690285d7d9c0c1b6739e,True,1,True,model name present; revision/SHA and leaderboard submission/run ID unavailable,unknown in bridge CSV; must be source-verified,unknown beyond supplied comparability label,metric names present; evaluation-set/aggregation details not row-verified
C5,4,EleutherAI/pythia-1b,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",Pythia (source-label hint; version/family independence unverified),1.040867,299.893,2.2904,5.07026822083096,22.079415949680183,2.2939863995762866,0.906344410876133,0.8948545861297527,2.7343749999999996,1.512632978723403,True,True,True,True,True,947e875800e2450ce06f1925c9fe36a0665970ca5e5329d0e48ff63f25373ed9,True,1,True,model name present; revision/SHA and leaderboard submission/run ID unavailable,unknown in bridge CSV; must be source-verified,unknown beyond supplied comparability label,metric names present; evaluation-set/aggregation details not row-verified
C5,5,EleutherAI/pythia-1.4b,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",Pythia (source-label hint; version/family independence unverified),1.416184,299.893,2.2558,6.008531439497028,23.708094522533543,3.878989478987103,1.5105740181268883,1.5659955257270708,4.02265625,1.3648788416075646,True,True,True,True,True,6c414b92fedb739b0fd9059e37ec6d3718668e5deae93b3c5a0ae0dfce53ba01,True,1,True,model name present; revision/SHA and leaderboard submission/run ID unavailable,unknown in bridge CSV; must be source-verified,unknown beyond supplied comparability label,metric names present; evaluation-set/aggregation details not row-verified
C5,6,EleutherAI/pythia-2.8b,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",Pythia (source-label hint; version/family independence unverified),2.782831,299.893,2.1911,5.554946281603011,21.73222604910526,5.077786161905462,1.3595166163141994,0.0,3.6382812500000004,1.521867612293143,True,True,True,True,True,fa7c7d42d365022456c4efed1838c65e8ede4215cbcd520ce18db1fff1cac76f,True,1,True,model name present; revision/SHA and leaderboard submission/run ID unavailable,unknown in bridge CSV; must be source-verified,unknown beyond supplied comparability label,metric names present; evaluation-set/aggregation details not row-verified
C5,7,EleutherAI/pythia-6.9b,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",Pythia (source-label hint; version/family independence unverified),6.86104,299.893,2.125,5.966546774741993,22.811362739752745,5.88163197981621,1.4350453172205437,0.22371364653244186,3.8148437499999996,1.6326832151300221,True,True,True,True,True,e2f834c068062043e418cddb596695db6a02512d880d50a4bdd66d7838fb3e58,True,1,True,model name present; revision/SHA and leaderboard submission/run ID unavailable,unknown in bridge CSV; must be source-verified,unknown beyond supplied comparability label,metric names present; evaluation-set/aggregation details not row-verified
C5,8,EleutherAI/pythia-12b,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",Pythia (source-label hint; version/family independence unverified),11.965825,299.893,2.0933,6.059841492942702,24.71475684517081,4.987531038290507,1.6616314199395772,0.0,3.7872395833333345,1.2078900709219857,True,True,True,True,True,7cb64f1a49f0273769929d2917cd022a3b0c16fa86be9b8f1748436f7f004d8b,True,1,True,model name present; revision/SHA and leaderboard submission/run ID unavailable,unknown in bridge CSV; must be source-verified,unknown beyond supplied comparability label,metric names present; evaluation-set/aggregation details not row-verified
C5,9,meta-llama/Meta-Llama-3-8B,"LLaMA 3 Technical Report (Meta, 2024), training loss at convergence","Medium (different validation set, approximate)",unresolved,8.03,,1.760,13.626857071686075,14.550614591506093,24.50076379676797,4.531722054380665,7.38255033557047,6.242447916666666,24.553043735224584,False,True,True,True,False,004590ed69275942e51801d9068dd081ddbeef64ff660d68cf57050d94632e22,True,1,True,model name present; revision/SHA and leaderboard submission/run ID unavailable,unknown in bridge CSV; must be source-verified,unknown beyond supplied comparability label,metric names present; evaluation-set/aggregation details not row-verified
C5,10,meta-llama/Llama-2-7b-hf,"LLaMA 2 paper (Touvron et al., 2023), training loss at convergence","Medium (different validation set, approximate)",unresolved,6.738,,1.750,8.806357596540016,25.18938638368418,10.35141665784897,1.7371601208459215,2.2371364653243813,3.7578125,9.56523345153664,False,True,True,True,False,c3e75189a532c8f4db91741530161463fbadb0635e43b44ed8b21fe8d6b08cfc,True,1,True,model name present; revision/SHA and leaderboard submission/run ID unavailable,unknown in bridge CSV; must be source-verified,unknown beyond supplied comparability label,metric names present; evaluation-set/aggregation details not row-verified
C5,11,meta-llama/Llama-3.1-8B,"LLaMA 3.1 Technical Report (Meta, 2024), training loss","Medium (different validation set, approximate)",unresolved,8.03,,1.760,14.42086519266696,12.459828809780273,25.30447063475493,6.570996978851963,8.05369127516779,8.715104166666668,25.42109929078014,False,True,True,True,False,cea75644fe7afd72f4b9f9ebc6dc24fb2e1bcc9c1d06252e671054b387fb1e5e,True,1,True,model name present; revision/SHA and leaderboard submission/run ID unavailable,unknown in bridge CSV; must be source-verified,unknown beyond supplied comparability label,metric names present; evaluation-set/aggregation details not row-verified
