target_source,target_scope,target_record_id,N_params_B,D_tokens_B,target_loss,target_loss_unit,unit_protocol_verified,target_role,within_high_comparability_loss_range
Q2_B1_observed,terminal observed D checkpoint by parameter-size group,Q2_B1_observed:N=0.070542:D=299.893,0.070542,299.893,2.8131,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",False
Q2_B1_observed,terminal observed D checkpoint by parameter-size group,Q2_B1_observed:N=0.162405:D=299.893,0.162405,299.893,2.5978,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
Q2_B1_observed,terminal observed D checkpoint by parameter-size group,Q2_B1_observed:N=0.409009:D=299.893,0.409009,299.893,2.4209,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
Q2_B1_observed,terminal observed D checkpoint by parameter-size group,Q2_B1_observed:N=1.04087:D=299.893,1.040867,299.893,2.2904,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
Q2_B1_observed,terminal observed D checkpoint by parameter-size group,Q2_B1_observed:N=1.41618:D=299.893,1.416184,299.893,2.2558,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
Q2_B1_observed,terminal observed D checkpoint by parameter-size group,Q2_B1_observed:N=2.78283:D=299.893,2.782831,299.893,2.1911,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
Q2_B1_observed,terminal observed D checkpoint by parameter-size group,Q2_B1_observed:N=6.86104:D=299.893,6.86104,299.893,2.125,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
Q2_B1_observed,terminal observed D checkpoint by parameter-size group,Q2_B1_observed:N=11.9658:D=299.893,11.965825,299.893,2.0933,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
Q2_M0_B1_fitted,terminal observed D checkpoint by parameter-size group,Q2_M0_B1_fitted:N=0.070542:D=299.893,0.070542,299.893,2.813074770242556,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",False
Q2_M0_B1_fitted,terminal observed D checkpoint by parameter-size group,Q2_M0_B1_fitted:N=0.162405:D=299.893,0.162405,299.893,2.597832813321073,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",False
Q2_M0_B1_fitted,terminal observed D checkpoint by parameter-size group,Q2_M0_B1_fitted:N=0.409009:D=299.893,0.409009,299.893,2.420860502200345,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
Q2_M0_B1_fitted,terminal observed D checkpoint by parameter-size group,Q2_M0_B1_fitted:N=1.04087:D=299.893,1.040867,299.893,2.2903408950463744,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
Q2_M0_B1_fitted,terminal observed D checkpoint by parameter-size group,Q2_M0_B1_fitted:N=1.41618:D=299.893,1.416184,299.893,2.255634673972805,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
Q2_M0_B1_fitted,terminal observed D checkpoint by parameter-size group,Q2_M0_B1_fitted:N=2.78283:D=299.893,2.782831,299.893,2.1911044567591,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
Q2_M0_B1_fitted,terminal observed D checkpoint by parameter-size group,Q2_M0_B1_fitted:N=6.86104:D=299.893,6.86104,299.893,2.125067003264792,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
Q2_M0_B1_fitted,terminal observed D checkpoint by parameter-size group,Q2_M0_B1_fitted:N=11.9658:D=299.893,11.965825,299.893,2.093379471491827,UNKNOWN,False,"candidate only; Q2 endpoint, not an approved future Q1-Q3 conversion target",True
