term,estimate,hc3_se,ci95_low,ci95_high,n_models,residual_df,reference_type,reference_month
intercept,15.330188116102445,2.8517918747989333,9.740676041496535,20.919700190708355,645,635,chat_posttrained,2024-11
log10_params_B,40.775520907560455,1.9603768503118646,36.933182280949204,44.61785953417171,645,635,chat_posttrained,2024-11
type[domain_finetuned],0.8309127877662666,2.1821128246650536,-3.4460283485772387,5.107853924109772,645,635,chat_posttrained,2024-11
type[merge],10.17089465730832,2.120725950920465,6.01427179350421,14.32751752111243,645,635,chat_posttrained,2024-11
type[other_rare],-6.3254370158028665,3.6582481258305437,-13.495603342430732,0.8447293108249987,645,635,chat_posttrained,2024-11
type[pretrained],0.44339308545790657,4.239462412923805,-7.8659532438727515,8.752739414788564,645,635,chat_posttrained,2024-11
month[2024-12],5.481634991642953,1.9610975403473594,1.6378838125621287,9.325386170723778,645,635,chat_posttrained,2024-11
month[2025-01],-1.2523818486214149,2.0803776424540916,-5.329922027831434,2.8251583305886045,645,635,chat_posttrained,2024-11
month[2025-02],-1.8189275135700052,2.1574159845275864,-6.047462843244075,2.409607816104064,645,635,chat_posttrained,2024-11
month[2025-03],2.101698163221654,2.2494815865939746,-2.3072857465025365,6.510682072945844,645,635,chat_posttrained,2024-11
