forecast_origin,horizon_months,target_month,scenario,scenario_label_zh,scaling_exponent_alpha_N_proportional_C_alpha,is_primary_alpha_half,c4_annual_compute_growth_multiplier,compute_multiplier,parameter_multiplier_under_alpha,frontier_point_C1_Average_P90,conditional_simulation_q025,conditional_simulation_q975,point_outside_score_domain_0_100,simulation_band_outside_score_domain_0_100,simulation_band_method,simulation_band_coverage_calibrated,annual_horizon_rolling_origin_count,conditioned_on_type_mix_residual_distribution_and_protocol_stability,c4_is_individual_c1_compute_match
2025-03,12,2026-03,historical_rate,历史速度延续,0.5,True,2.5819507232049395,2.5819507232049395,1.6068449592928806,52.586457213337475,40.227182018698244,63.11182337240473,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,12,2026-03,historical_rate,历史速度延续,0.73,False,2.5819507232049395,2.5819507232049395,1.9985821446516663,53.94027469031477,41.909037377124875,64.2473485951229,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,24,2027-03,historical_rate,历史速度延续,0.5,True,2.5819507232049395,6.66646953705851,2.5819507232049395,63.898401808049044,46.74788328375174,89.66546827356866,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,24,2027-03,historical_rate,历史速度延续,0.73,False,2.5819507232049395,6.66646953705851,3.994330588920454,66.60603676200364,50.07437426844586,91.79258945653544,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,12,2026-03,half_log_growth,中度放缓,0.5,True,1.6068449592928806,1.6068449592928806,1.2676138841511955,51.114916477492585,38.882005017944735,62.65602603193797,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,12,2026-03,half_log_growth,中度放缓,0.73,False,1.6068449592928806,1.6068449592928806,1.4137121859316577,51.791825215981234,39.75390730428257,63.235637263197525,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,24,2027-03,half_log_growth,中度放缓,0.5,True,1.6068449592928806,2.581950723204939,1.6068449592928806,60.95532033635927,43.38798397533783,86.3176728836819,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,24,2027-03,half_log_growth,中度放缓,0.73,False,1.6068449592928806,2.581950723204939,1.998582144651666,62.30913781333657,45.09848480122381,87.43863472382326,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,12,2026-03,flat_compute,强放缓,0.5,True,1.0,1.0,1.0,49.6433757416477,36.660235872895505,61.46924066247342,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,12,2026-03,flat_compute,强放缓,0.73,False,1.0,1.0,1.0,49.6433757416477,36.660235872895505,61.46924066247342,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,24,2027-03,flat_compute,强放缓,0.5,True,1.0,1.0,1.0,58.0122388646695,39.08167723329097,84.9264966453545,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,24,2027-03,flat_compute,强放缓,0.73,False,1.0,1.0,1.0,58.0122388646695,39.08167723329097,84.9264966453545,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
