c1_source_row,c2_source_row,Model,Submission Date,submission_month,C1_Average,Epoch_AI_Open_Weights,Epoch_AI_Publication_Date,source_Model_sha,C8_latest_parseable_run_id,C8_latest_model_revision,C8_latest_model_sha,C8_revision_sha_equal_latest_q4_candidate,version_match_status,version_scope_note
3,3,01-ai/Yi-1.5-34B,2024-06-12,2024-06,25.64649419429311,Yes,2024-05-13,,047e17ae3b360b66af0856e604c6b63aba453f23755c81e72efbcb47d53df87b,4b486f81c935a2dadde84c6baa1e1370d40a098f,4b486f81c935a2dadde84c6baa1e1370d40a098f,false,source_version_missing,Weight SHA match only; task/metric/protocol equivalence is a separate gate.
4,4,01-ai/Yi-1.5-34B-32K,2024-06-12,2024-06,26.727912908508134,Yes,2024-05-13,,8defa6f3e550b9d570842f0774a6c52796007d9b1460e1a9643564fa24dcbbbf,2c03a29761e4174f20347a60fbe229be4383d48b,2c03a29761e4174f20347a60fbe229be4383d48b,false,source_version_missing,Weight SHA match only; task/metric/protocol equivalence is a separate gate.
5,5,01-ai/Yi-1.5-34B-Chat,2024-06-12,2024-06,33.35799367075618,Yes,2024-05-13,,8c3005faaccdffadd79a6f30f38facf675871e7f0e11a2f6d17d766b177dfe83,f3128b2d02d82989daae566c0a7eadc621ca3254,f3128b2d02d82989daae566c0a7eadc621ca3254,false,source_version_missing,Weight SHA match only; task/metric/protocol equivalence is a separate gate.
6,6,01-ai/Yi-1.5-34B-Chat-16K,2024-07-15,2024-07,29.403554842710225,Yes,2024-05-13,,a065c61250880e54cb412b62328d79e42f22053b4be76b71017c4af400991a96,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,false,source_version_missing,Weight SHA match only; task/metric/protocol equivalence is a separate gate.
9,9,01-ai/Yi-1.5-9B,2024-06-12,2024-06,22.153901514184795,Yes,2024-05-13,,e809de3808db7ed061d8af6453f14c883b58b67914be35a6c2313543c495dabb,8cfde9604384c50137bee480b8cef8a08e5ae81d,8cfde9604384c50137bee480b8cef8a08e5ae81d,false,source_version_missing,Weight SHA match only; task/metric/protocol equivalence is a separate gate.
10,10,01-ai/Yi-1.5-9B-32K,2024-06-12,2024-06,19.809786285875365,Yes,2024-05-13,,7d8033a0ca16688a146cbdb2fb4e11d975bba0ff43a711b3e45ecb79941d9d73,116561dfae63af90f9d163b43077629e0e916bb1,116561dfae63af90f9d163b43077629e0e916bb1,false,source_version_missing,Weight SHA match only; task/metric/protocol equivalence is a separate gate.
11,11,01-ai/Yi-1.5-9B-Chat,2024-06-12,2024-06,29.530872220260978,Yes,2024-05-13,,4e53741a247d7c79b69a8d3659398884a7aba749fe2ddd15977e3928fe022e46,bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35,bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35,false,source_version_missing,Weight SHA match only; task/metric/protocol equivalence is a separate gate.
12,12,01-ai/Yi-1.5-9B-Chat-16K,2024-06-12,2024-06,23.76539234993476,Yes,2024-05-13,,ada5d6b38f346476aa74d2f9075c03a253b659af28132eb9b1bb887b92b57728,2b397e5f0fab87984efa66856c5c4ed4bbe68b50,2b397e5f0fab87984efa66856c5c4ed4bbe68b50,false,source_version_missing,Weight SHA match only; task/metric/protocol equivalence is a separate gate.
13,13,01-ai/Yi-34B,2024-06-12,2024-06,22.373127018936653,Yes,2023-11-02,,03b64c2ba5b629dd50e68c2da994a7991f3ed85b1617d4f152b9b2fb6f579c62,e1e7da8c75cfd5c44522228599fd4d2990cedd1c,e1e7da8c75cfd5c44522228599fd4d2990cedd1c,false,source_version_missing,Weight SHA match only; task/metric/protocol equivalence is a separate gate.
14,14,01-ai/Yi-34B-200K,2024-06-12,2024-06,20.01347533597433,Yes,2023-11-02,,957c2bcf0ce9b0887a3544a1f8885e6fcdeaf8c9fb073e372e0875932eb0db5a,8ac1a1ebe011df28b78ccd08012aeb2222443c77,8ac1a1ebe011df28b78ccd08012aeb2222443c77,false,source_version_missing,Weight SHA match only; task/metric/protocol equivalence is a separate gate.
