snapshot_month,as_of_commit_date_utc,commit_sha,parquet_path_at_revision,parquet_sha256,parquet_bytes,snapshot_rows,metric_schema_fields_present,metric_schema_fields_expected,missing_metric_fields,frozen_C8_C1_candidate_rows_in_snapshot,candidate_current_C2_yes_rows_in_snapshot,candidate_rows_without_submission_date,rows_for_frozen_C8_C1_candidate_universe_as_of_commit_date,unique_frozen_candidate_models_as_of_commit_date,duplicate_candidate_model_name_groups,current_C2_yes_open_weight_rows,future_submission_rows_excluded,same_month_submission_count,same_month_submission_p90,final_baseline_same_month_p90,same_month_p90_matches_final_baseline,final_baseline_same_month_count,same_month_common_model_names,same_month_snapshot_only_model_names,same_month_final_only_model_names,same_month_common_names_same_model_sha,same_month_common_names_different_model_sha,same_month_common_names_missing_model_sha,same_model_sha_median_abs_score_difference,same_model_sha_max_abs_score_difference,snapshot_protocol_gate,temporal_cohort_gate,same_month_snapshot_status
2024-06,2024-06-30T23:09:10.000Z,36c9a1079638afab92afdba89f4f015ffbef504a,data/train-00000-of-00001-4a5d9df67326e3b3.parquet,056cc7449695f57dde2fc60617aa544209289d30bdaa2c8d9b005d9c3d5af8cc,67505,221,12,12,,88,33,88,0,0,0,0,0,,,28.332921916110397,,38,,,,,,,,,v2_metric_fields_present,submission_date_field_absent,submission_date_field_absent
2024-07,2024-07-31T17:56:33.000Z,b700f9d9763af4c21512b62e76f0533f8d569d73,data/train-00000-of-00001-55dad892ed28b420.parquet,f945db18e2a2fab6209b07c880b288baebc823d9de884727cd452bba286b388e,130838,516,12,12,,181,44,0,181,181,0,44,0,8,26.62671997398619,28.69298424896202,false,9,8,0,1,8,0,0,0.3147029204431,2.8952668680765257,v2_metric_fields_present,submission_date_present,computed
2024-08,2024-08-31T22:56:23.000Z,e0ce0da39aa564a8c4b8f0f2834b4b52070bf0d2,data/train-00000-of-00001-2d81f2c115f6fe8b.parquet,88cd81e1061ecc0b1b9e7408edd51cbd4dd2a03cc5a0fb0d4fe7e5781870df57,196201,757,12,12,,274,48,0,274,274,0,48,0,2,6.32892654916164,30.810183807331235,false,4,2,0,2,2,0,0,0.025176233635447964,0.025176233635447964,v2_metric_fields_present,submission_date_present,computed
2024-09,2024-09-30T22:43:58.000Z,ab63c09cbe21132cbeb67c5908273363c9ad6088,data/train-00000-of-00001.parquet,dd724450c5b44d97b8d0574e11e02077137271075767ed17cafc60865210947d,328288,1279,12,12,,552,70,0,552,552,0,70,0,19,32.98129522223714,40.96510255071386,false,19,19,0,0,18,0,1,0.9566968781470262,10.422960725075527,v2_metric_fields_present,submission_date_present,computed
2024-10,2024-10-31T15:13:03.000Z,21f0c0d283c79374498284d407dc37ea3205d4a0,data/train-00000-of-00001.parquet,911382e6b6107f837b990905ccb3ba62246ad2ccfa6106f5e67a69f0ea225777,417214,1731,12,12,,754,81,0,754,754,0,81,0,11,36.59642214042278,38.74423639967271,false,11,11,0,0,11,0,0,0.9441087613293035,5.903826787512589,v2_metric_fields_present,submission_date_present,computed
2024-11,2024-11-30T23:19:19.000Z,5f661fb12dd7097c2c6bb7c8a30091ce9fc5dd3d,data/train-00000-of-00001.parquet,4b71b477679bc3b92a078ffbcff0fc8c603b19467dbad58178dbfc06ddd3c03f,530258,2096,12,12,,912,96,0,912,912,0,96,0,15,34.1790716984808,39.83787163089315,false,15,15,0,0,15,0,0,0.9818731117824768,8.157099697885197,v2_metric_fields_present,submission_date_present,computed
2024-12,2024-12-31T22:27:51.000Z,ea15dca31257f573dad6fc94bd97867d6089320a,data/train-00000-of-00001.parquet,8a43aa3ff6960dabaebb1892c0dca6ac9b37a30e9cae35163a35b71f41658bff,660052,2658,12,12,,1134,112,1,1133,1133,0,112,0,16,38.64323387836212,40.31870789775397,false,17,16,0,1,16,0,0,1.0888721047331344,5.0100704934541795,v2_metric_fields_present,submission_date_present,computed
2025-01,2025-01-31T17:25:40.000Z,81cd359a3cb6ad4df19a93293809fb4b34b7b259,data/train-00000-of-00001.parquet,f98e36996c2f17684e6b04cb850d9edb39809baa3b60d1762e75b32cfb1cafd4,854114,3491,12,12,,1480,149,0,1480,1480,0,149,0,36,39.00657684620679,39.73983005883677,false,37,35,1,2,35,0,0,0.5287009063444081,6.445115810674725,v2_metric_fields_present,submission_date_present,computed
2025-02,2025-02-28T23:57:13.000Z,2bbe8653485139095bf8c15da1cb7701fd2cd439,data/train-00000-of-00001.parquet,c3aba6006ac0389565f22cf6517dea56b05d04dc8746eef10a0ff50765dbe157,1030746,4241,12,12,,1702,186,2,1700,1700,0,186,0,36,41.30612586440368,41.32181900505526,false,33,33,3,0,33,0,0,0.0,0.0,v2_metric_fields_present,submission_date_present,computed
2025-03,2025-03-20T12:17:27.000Z,9c09a7cae43334062a82cb164f2ef255013dafa2,data/train-00000-of-00001.parquet,f13a7061e63133bc8745d89f8c7a56148584940ede22d3b27e21cad1e078dca5,1109997,4576,12,12,,1819,201,3,1816,1816,0,201,0,18,41.2745126186259,41.2745126186259,true,18,18,0,0,18,0,0,0.0,0.0,v2_metric_fields_present,submission_date_present,computed
