term,estimate,hc3_se,ci95_low,ci95_high,n_models,residual_df,reference_type,reference_month
intercept,15.330188116101127,2.851791874799002,9.740676041495082,20.91970019070717,645,635,chat_posttrained,2024-11
log10_params_B,40.775520907560725,1.960376850311931,36.93318228094934,44.61785953417211,645,635,chat_posttrained,2024-11
type[domain_finetuned],0.8309127877670784,2.1821128246650545,-3.4460283485764287,5.107853924110586,645,635,chat_posttrained,2024-11
type[merge],10.170894657309002,2.1207259509204506,6.0142717935049195,14.327517521113085,645,635,chat_posttrained,2024-11
type[other_rare],-6.325437015802041,3.6582481258305597,-13.495603342429938,0.8447293108258558,645,635,chat_posttrained,2024-11
type[pretrained],0.44339308545878975,4.239462412923794,-7.865953243871847,8.752739414789428,645,635,chat_posttrained,2024-11
month[2024-12],5.481634991643324,1.961097540347355,1.637883812562508,9.325386170724139,645,635,chat_posttrained,2024-11
month[2025-01],-1.2523818486210134,2.0803776424540867,-5.3299220278310235,2.825158330588997,645,635,chat_posttrained,2024-11
month[2025-02],-1.8189275135697085,2.157415984527586,-6.0474628432437765,2.40960781610436,645,635,chat_posttrained,2024-11
month[2025-03],2.1016981632219416,2.249481586593979,-2.3072857465022576,6.510682072946141,645,635,chat_posttrained,2024-11
