c8_model_name_raw,c8_model_dir,run_id,c1_record_count,c1_record_ids,match_status,version_match_status,strict_version_confirmed,c8_model_revision,c8_model_sha,c2_epoch_publication_date_candidate,c2_epoch_organization_candidate,c2_epoch_open_weights_candidate
0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,72ff3547408ef55775d80e9a1a718e16c9d756293d91db6e1daa49be541e416e,1,[2],exact_model_id_unique_record,source_version_missing,False,26a66f0d862e2024ce4ad0a09c37052ac36e8af6,26a66f0d862e2024ce4ad0a09c37052ac36e8af6,,,
01-ai/Yi-1.5-34B,01-ai_Yi-1.5-34B,047e17ae3b360b66af0856e604c6b63aba453f23755c81e72efbcb47d53df87b,1,[3],exact_model_id_unique_record,source_version_missing,False,4b486f81c935a2dadde84c6baa1e1370d40a098f,4b486f81c935a2dadde84c6baa1e1370d40a098f,2024-05-13,01.AI,Yes
01-ai/Yi-1.5-34B-32K,01-ai_Yi-1.5-34B-32K,8defa6f3e550b9d570842f0774a6c52796007d9b1460e1a9643564fa24dcbbbf,1,[4],exact_model_id_unique_record,source_version_missing,False,2c03a29761e4174f20347a60fbe229be4383d48b,2c03a29761e4174f20347a60fbe229be4383d48b,2024-05-13,01.AI,Yes
01-ai/Yi-1.5-34B-Chat,01-ai_Yi-1.5-34B-Chat,8c3005faaccdffadd79a6f30f38facf675871e7f0e11a2f6d17d766b177dfe83,1,[5],exact_model_id_unique_record,source_version_missing,False,f3128b2d02d82989daae566c0a7eadc621ca3254,f3128b2d02d82989daae566c0a7eadc621ca3254,2024-05-13,01.AI,Yes
01-ai/Yi-1.5-34B-Chat-16K,01-ai_Yi-1.5-34B-Chat-16K,a065c61250880e54cb412b62328d79e42f22053b4be76b71017c4af400991a96,1,[6],exact_model_id_unique_record,source_version_missing,False,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,2024-05-13,01.AI,Yes
01-ai/Yi-1.5-6B,01-ai_Yi-1.5-6B,b3a0db3f32fb2f255c691ec46ae00aa3516bee21262ded4e8ae2d5e464c0ee22,1,[7],exact_model_id_unique_record,source_version_missing,False,cab51fce425b4c1fb19fccfdd96bd5d0908c1657,cab51fce425b4c1fb19fccfdd96bd5d0908c1657,,,
01-ai/Yi-1.5-6B-Chat,01-ai_Yi-1.5-6B-Chat,a813c731b2a9acd393a9f6386b274fc72fe894755ba6892b1538cb19c64d66aa,1,[8],exact_model_id_unique_record,source_version_missing,False,3f64d3f159c6ad8494227bb77e2a7baef8cd808b,3f64d3f159c6ad8494227bb77e2a7baef8cd808b,,,
01-ai/Yi-1.5-9B,01-ai_Yi-1.5-9B,e809de3808db7ed061d8af6453f14c883b58b67914be35a6c2313543c495dabb,1,[9],exact_model_id_unique_record,source_version_missing,False,8cfde9604384c50137bee480b8cef8a08e5ae81d,8cfde9604384c50137bee480b8cef8a08e5ae81d,2024-05-13,01.AI,Yes
01-ai/Yi-1.5-9B-32K,01-ai_Yi-1.5-9B-32K,7d8033a0ca16688a146cbdb2fb4e11d975bba0ff43a711b3e45ecb79941d9d73,1,[10],exact_model_id_unique_record,source_version_missing,False,116561dfae63af90f9d163b43077629e0e916bb1,116561dfae63af90f9d163b43077629e0e916bb1,2024-05-13,01.AI,Yes
01-ai/Yi-1.5-9B-Chat,01-ai_Yi-1.5-9B-Chat,4e53741a247d7c79b69a8d3659398884a7aba749fe2ddd15977e3928fe022e46,1,[11],exact_model_id_unique_record,source_version_missing,False,bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35,bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35,2024-05-13,01.AI,Yes
01-ai/Yi-1.5-9B-Chat-16K,01-ai_Yi-1.5-9B-Chat-16K,ada5d6b38f346476aa74d2f9075c03a253b659af28132eb9b1bb887b92b57728,1,[12],exact_model_id_unique_record,source_version_missing,False,2b397e5f0fab87984efa66856c5c4ed4bbe68b50,2b397e5f0fab87984efa66856c5c4ed4bbe68b50,2024-05-13,01.AI,Yes
01-ai/Yi-34B,01-ai_Yi-34B,03b64c2ba5b629dd50e68c2da994a7991f3ed85b1617d4f152b9b2fb6f579c62,1,[13],exact_model_id_unique_record,source_version_missing,False,e1e7da8c75cfd5c44522228599fd4d2990cedd1c,e1e7da8c75cfd5c44522228599fd4d2990cedd1c,2023-11-02,01.AI,Yes
DeepMount00/Llama-3.1-8b-Ita,DeepMount00_Llama-3.1-8b-ITA,3c3bb5b94a25f83b09ee4acf8f2a97e4cf3cbf65e4c90c211034722f735731ae,1,[343],exact_model_id_unique_record,source_version_missing,False,5ede1e388b6b15bc06acd364a8f805fe9ed16db9,5ede1e388b6b15bc06acd364a8f805fe9ed16db9,,,
DreadPoor/Winter_Dawn-8B-TIES,DreadPoor_Winter_Dawn-8B-TIES,d7184bd14bff231c28e58672082ed2cc8dbfe655f69c333c787acb38cd1fd4b6,1,[490],exact_model_id_unique_record,source_version_missing,False,51a34187becda09317bd5afd193f265e18b731b3,51a34187becda09317bd5afd193f265e18b731b3,,,
