scenario,unicode_rule,source_domain,candidate,n_full_scored,n_unmarked_scored,n_marked_scored,full_domain_score,unmarked_domain_score,difference_unmarked_minus_full,ci_low,ci_high,bootstrap_repetitions,ci_method,full_rank_1_is_highest_score,unmarked_rank_1_is_highest_score,rank_shift,seven_domain_rank_spearman,full_seven_domain_macro,unmarked_seven_domain_macro,macro_delta_unmarked_minus_full
unicode_strict_clean_a1,strict_cf_cc,arxiv,q_equal,1419,1416,3,0.5321021754042565,0.532135313727748,3.313832349149948e-05,-7.373839616775511e-05,0.00011056959629058836,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",3.0,3.0,0.0,1.0,0.4962423660051325,0.4962470975497956,4.731544663127973e-06
unicode_strict_clean_a1,strict_cf_cc,arxiv,q_huber,1419,1416,3,0.5610524841494584,0.5611180845206487,6.560037119029971e-05,-9.852796792984008e-05,0.0001710057258605957,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",2.0,2.0,0.0,1.0,0.4984062063739706,0.49830608631552387,-0.00010012005844672878
unicode_strict_clean_a1,strict_cf_cc,book,q_equal,171,154,17,0.4317234929528393,0.431118029799924,-0.0006054631529153198,-0.003679671883583067,0.002359510958194732,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",6.0,6.0,0.0,1.0,0.4962423660051325,0.4962470975497956,4.731544663127973e-06
unicode_strict_clean_a1,strict_cf_cc,book,q_huber,171,154,17,0.428509291086959,0.4271274337420845,-0.0013818573448745042,-0.005734370648860931,0.003103803098201751,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",6.0,6.0,0.0,1.0,0.4984062063739706,0.49830608631552387,-0.00010012005844672878
unicode_strict_clean_a1,strict_cf_cc,c4,q_equal,10000,9935,65,0.5705242020552408,0.5705234136851605,-7.883700803290594e-07,-0.00013571083545684806,0.0001338809728622436,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",1.0,1.0,0.0,1.0,0.4962423660051325,0.4962470975497956,4.731544663127973e-06
unicode_strict_clean_a1,strict_cf_cc,c4,q_huber,10000,9935,65,0.5766610377025483,0.5766681714860393,7.1337834910423226e-06,-0.00014142394065856927,0.00015390664339065546,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",1.0,1.0,0.0,1.0,0.4984062063739706,0.49830608631552387,-0.00010012005844672878
unicode_strict_clean_a1,strict_cf_cc,commoncrawl,q_equal,9640,9388,252,0.5340210557215972,0.5345295391979139,0.0005084834763167123,0.00023613870143890384,0.0007979393005371093,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",2.0,2.0,0.0,1.0,0.4962423660051325,0.4962470975497956,4.731544663127973e-06
unicode_strict_clean_a1,strict_cf_cc,commoncrawl,q_huber,9640,9388,252,0.535949436040509,0.5364749507175599,0.0005255146770508645,0.00021955817937850956,0.0008414059877395628,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",3.0,3.0,0.0,1.0,0.4984062063739706,0.49830608631552387,-0.00010012005844672878
unicode_strict_clean_a1,strict_cf_cc,github,q_equal,10000,9989,11,0.40449681099299717,0.40450648725789584,9.67626489867257e-06,-3.3383071422576893e-05,5.436092615127563e-05,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",7.0,7.0,0.0,1.0,0.4962423660051325,0.4962470975497956,4.731544663127973e-06
unicode_strict_clean_a1,strict_cf_cc,github,q_huber,10000,9989,11,0.38967475817848474,0.3896827656159889,8.007437504176096e-06,-3.814697265625e-05,5.972534418106078e-05,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",7.0,7.0,0.0,1.0,0.4984062063739706,0.49830608631552387,-0.00010012005844672878
