scenario,extension_dataset,source_domain,candidate,a1_domain_score,extension_domain_score,difference_extension_minus_a1,ci_low,ci_high,bootstrap_repetitions,ci_method,run_status
unicode_strict_clean_a1,a2,arxiv,q_equal,0.5321021754042565,0.5309637014541142,-0.0011384739501423269,-0.0029860377311706535,0.0006563603878021222,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
unicode_strict_clean_a1,a2,arxiv,q_huber,0.5610524841494584,0.5596907595139964,-0.001361724635462025,-0.00434095561504364,0.00132523477077484,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
unicode_strict_clean_a1,a3,github,q_equal,0.40449681099299717,0.4039371787505761,-0.0005596322424210598,-0.0019504487514495842,0.0007791444659233084,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
unicode_strict_clean_a1,a3,github,q_huber,0.38967475817848474,0.3890652124651002,-0.0006095457133845628,-0.001980677247047424,0.0009210690855979916,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
unicode_broad_clean_a1,a2,arxiv,q_equal,0.5321021754042565,0.5309637014541142,-0.0011384739501423269,-0.0029818549752235407,0.0006352782249450683,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
unicode_broad_clean_a1,a2,arxiv,q_huber,0.5612832361062718,0.5599226208451196,-0.001360615261152276,-0.004026949405670164,0.001487995684146881,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
unicode_broad_clean_a1,a3,github,q_equal,0.40449766415134825,0.4039382750020071,-0.0005593891493411718,-0.0018419802188873282,0.0007543623447418206,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
unicode_broad_clean_a1,a3,github,q_huber,0.38955625223162293,0.3889460862020311,-0.0006101660295918521,-0.002156901359558105,0.0008834391832351679,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
unit_flagged_a1_excluded,a2,arxiv,q_equal,0.5320965357791057,0.5309591176048425,-0.0011374181742631606,-0.0028695583343505858,0.0006349474191665647,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
unit_flagged_a1_excluded,a2,arxiv,q_huber,0.5613314984439253,0.5599733949669901,-0.001358103476935213,-0.004118306934833526,0.0014653220772743209,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
unit_flagged_a1_excluded,a3,github,q_equal,0.40449680208832284,0.40393716747452935,-0.0005596346137934916,-0.0019030600786209106,0.0007693603634834284,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
unit_flagged_a1_excluded,a3,github,q_huber,0.38948057332602026,0.3888720212862875,-0.0006085520397327571,-0.0022120222449302667,0.00087166428565979,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
exclude_7_unit_ambiguous_fields,a2,arxiv,q_equal,0.5838002700334055,0.5818188839417022,-0.0019813860917032855,-0.0038953348994255044,-0.000143091380596161,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
exclude_7_unit_ambiguous_fields,a2,arxiv,q_huber,0.6513836651552456,0.6490410938458968,-0.0023425713093487843,-0.00502844750881195,0.00017513334751129077,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
exclude_7_unit_ambiguous_fields,a3,github,q_equal,0.39269531859407714,0.39267766663433257,-1.7651959744569012e-05,-0.0016804561018943782,0.001628434658050537,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
exclude_7_unit_ambiguous_fields,a3,github,q_huber,0.375167570567422,0.37520181190552115,3.42413380991502e-05,-0.0019365534186363215,0.0019127935171127314,2000,"independent within-dataset percentile bootstrap; scenario-calibration-subset A1 domain delta frozen across datasets; 5,000-bin histogram",computed
