blind_id,dataset,source_domain,raw_id,sub_path,q_equal_tertile,broad_unicode_flag,N_h,n_h,inclusion_probability,design_weight,content_sha256
Q11-0001,A1,commoncrawl,BkiUc4LxK03BfJXwwZ07,,2,1,95,25,0.2631578947368421,3.8,37015737ecee6c7a74c2dc62e0be2d51adacd0ff18693225000b3638c2ee76de
Q11-0002,A1,wikipedia,BkiUdcM5qdmC79phthae,,3,1,11,11,1.0,1.0,c67e0214b14b16729b0517fc0b07cc8c454a680211e91cd817699dc96be3ebfc
Q11-0003,A1,stackexchange,BkiUd4s5qX_BsNW_soyp,,2,0,3318,25,0.007534659433393611,132.72,0750e2c38273137d3c0cc536e8cf85df98ddf85652a49d176d6f37b8e3defd9c
Q11-0004,A1,github,BkiUczQ5qsBC6uknBEOf,,1,0,3328,25,0.007512019230769231,133.12,b70b8f904336dd5eb27e571ba29c41ed63c190fa7b499b00a06affd4f8143a32
Q11-0005,A1,commoncrawl,BkiUeR_xK4tBVhvvtPTO,,3,1,59,25,0.423728813559322,2.36,2dfa31135a18e1d095b7941f3fcb162ec6368fc01d60d9c9ef06930ae6c76bb3
Q11-0006,A1,c4,BkiUe3XxK3YB9m3uxp2A,,3,0,3311,25,0.007550588945937783,132.44,662ac23c9cc03f8d92a1efa7145833777537202f5588328999da5dabad04b25f
Q11-0007,A1,stackexchange,BkiUaiTxK3xgpZzQl2qI,,2,0,3318,25,0.007534659433393611,132.72,e0ac9d1e8cbd65547d62f2271060db8a51f61e5e324e5d370fcfdeb5de04dcd2
Q11-0008,A1,arxiv,BkiUdw04dbghP4tkLzhM,,2,0,473,25,0.052854122621564484,18.92,8f20ef14623e45847c63078b1a68bfbec486ff9bfba89ef5594877a13a690bab
Q11-0009,A1,github,BkiUd_vxK7kjXLSrGJZn,,3,0,3328,25,0.007512019230769231,133.12,f0377a01552768448f6852c844f3462bc30257e31938d10c0259079995ada4bf
Q11-0010,A1,book,BkiUdW84eIXh8AOmAlkO,,3,1,8,8,1.0,1.0,f7d95a5e4b02a3fe4fb77ae86d8f94e3bc2aaca24ab4d9ab429b4841e415f331
Q11-0011,A1,github,BkiUeGzxK7ICUmfb0Ksq,,2,0,3330,25,0.0075075075075075074,133.2,b0efd63948f4583b515b763fd909fb9e1c830d329bd94b9205beb3a1766741fa
Q11-0012,A1,arxiv,BkiUfx45qhLBsCDnRGtl,,1,0,471,25,0.05307855626326964,18.84,98c4e03cf19ee72e48030070be5b670f707e215518191dd3407feef1c5ac7f42
Q11-0013,A1,c4,BkiUcC7xK03BfL1dUXDB,,2,0,3305,25,0.007564296520423601,132.2,a57294609ba3e3d3e7ce45bc1df51fd0a6cd71bf14d3f98384f7883bc28952ab
Q11-0014,A1,c4,BkiUdao5qoYA189x-LIQ,,3,1,22,22,1.0,1.0,72ca48677b3e4274312d6dc553662fc48772a32760a6181bc938e98168f6500c
Q11-0015,A1,commoncrawl,BkiUc-M5jDKDx7Q7NEJO,,3,0,3154,25,0.007926442612555484,126.16,facb54687a727ab21c354cb5e15206d94c565acde89a1722f6364c9ca0025b7a
Q11-0016,A1,stackexchange,BkiUbII5qoTDtpmP3X5f,,3,0,3328,25,0.007512019230769231,133.12,80cbe3aa5ca52e7ae86303f3b2c27fab9a82a4cd5efb4a0a7effb0738c0cd5fb
Q11-0017,A1,commoncrawl,BkiUdrA5qdmDKLU7pz01,,1,1,113,25,0.22123893805309736,4.52,ed09cf5b9aef2fd6dab9986da16fe89c92335540ad9943642b9cdc2ccb20c06e
Q11-0018,A1,arxiv,BkiUdafxaL3SuhsxKGrm,,3,0,472,25,0.05296610169491525,18.88,893ce05eac56551923ca5b19fdcf09263e74569aa34d88fbfc6af2937a2c8dda
Q11-0019,A1,book,BkiUdbHxK6wB9mpb2Rte,,3,0,49,25,0.5102040816326531,1.96,7bac62a5d275374b5d68aab073cd6ea31b24b34a43112ad1139547a7daae8230
Q11-0020,A1,wikipedia,BkiUa6zxK1ThhCdy6SRk,,1,0,3321,25,0.007527853056308341,132.84,3c1a29fb8c3ea9f0a9360a323e3ff7974bef9f3bec35cabfc4e2c99b6ee768c4
Q11-0021,A1,wikipedia,BkiUduvxK7IAEwOJJChw,,3,0,3322,25,0.007525586995785672,132.88,916a53be20985b69c6dd7e6a8a1537e57feb95bc83918f71c0de1f5ffa76c674
Q11-0022,A1,github,BkiUdsM4dbjiU7z3ZudO,,1,1,6,6,1.0,1.0,e7af671af4ab7ea9f68b23f9aaac10d1cc82f86e1fc1d6399a64221f5bb2551d
Q11-0023,A1,wikipedia,BkiUcf_xK7Tt6AlxDIHu,,2,1,25,25,1.0,1.0,a99a1b22ffe2f983d9117446e00f896e9f7e23c5f36b5bec8620db3f6ed50491
Q11-0024,A1,c4,BkiUelXxK7IACRyfm8m-,,2,1,28,25,0.8928571428571429,1.12,33b2f55148ca2473adc479c8619e41e4bdee97d7d10f62e1df020a2b78f5b733
Q11-0025,A1,wikipedia,BkiUbPLxK7ICUubsx_yg,,2,0,3308,25,0.007557436517533253,132.32,e3ae95fe1fb343a90cd3b94d675313cd3534831d74f31608980b330b96a21668
Q11-0026,A1,c4,BkiUdwI4uzqh_N6SCSxh,,2,0,3305,25,0.007564296520423601,132.2,357aaa3d827fa01ff28c485e36f98146cdd722178ca89cd9b51bef1a5a787492
Q11-0027,A1,arxiv,BkiUeqnxK7IACL5k9deF,,1,0,471,25,0.05307855626326964,18.84,7967c059dc717d847570b16efb4c63aad16261ee9009b3698c0077128cbe82d3
Q11-0028,A1,stackexchange,BkiUbMQ4ubnjorNy3Bdp,,2,0,3318,25,0.007534659433393611,132.72,5436ebaceaeff4f186b7d2180fb1e7a0344c839fd717d105e769164fdcc9ee3a
Q11-0029,A1,arxiv,BkiUdQY4ubnhAvmH63ED,,3,0,472,25,0.05296610169491525,18.88,071d2f05b7a9616870e15791763abc3738425524b29a7cb459e40ccbe93d83ab
Q11-0030,A1,wikipedia,BkiUbGA4eIXguvMsuiU9,,1,1,13,13,1.0,1.0,8363d2f4bc56dcbd978145239f96a45eaf3a2286d23d7508dbde3310bd53f2c4
Q11-0031,A1,github,BkiUdAI25V5ij0Pv7SGH,,1,0,3328,25,0.007512019230769231,133.12,d070aec9c0195d203fd634ba2fcbfd5873117c77e3364393a71f100089190c02
Q11-0032,A1,arxiv,BkiUbmzxK1UJ-rRH-1MD,,2,0,473,25,0.052854122621564484,18.92,1cb0334c2f22cfaecabb40de0462e7670e21b9c673cb1b726591770da8166eec
Q11-0033,A1,stackexchange,BkiUdi84dbjiVFhKf4fp,,2,0,3318,25,0.007534659433393611,132.72,ba7009dce547a7d15e2ead10e4a31d784b10dec7ad0b1584e8cd31120c337d53
Q11-0034,A1,arxiv,BkiUfza6NNjgBpvIEAyi,,1,0,471,25,0.05307855626326964,18.84,faa2e60f9ae731ebccef4b8befb6bdfc16c821164a7d73cafddf037471ddf56d
Q11-0035,A1,commoncrawl,BkiUeZDxK7DgtAWe1H0O,,3,0,3154,25,0.007926442612555484,126.16,941fa7c9d55c7e81ea25cf99783920902040ee3048f926cd23ad8014731f414f
Q11-0036,A1,commoncrawl,BkiUdjQ4eIXh3noafhBy,,2,1,95,25,0.2631578947368421,3.8,2003b81fd809b21e1de10122df4524d29a4a71c065d4d46173bd784f62067835
Q11-0037,A1,wikipedia,BkiUd5c4eIOjR3O4dFyB,,2,1,25,25,1.0,1.0,25d90dd6e7e0503c872b7818de6df234646473c1ddae3e8c35b61c186ce8e531
Q11-0038,A1,c4,BkiUd4k5qsMAIxrFvn3-,,2,1,28,25,0.8928571428571429,1.12,0e27cf89d0621dd46f7e0fa4aa5b2b77aded34325bbcebf78adeab7723eb2ed9
Q11-0039,A1,commoncrawl,BkiUd4M5qhLAB-QFv6Wz,,3,1,59,25,0.423728813559322,2.36,fde30e72868f05abfe8785d67d0e1ba421f65f7bb6680b7be65bbbbd555034da
Q11-0040,A1,arxiv,BkiUbLTxaJJQn1aABSu7,,2,0,473,25,0.052854122621564484,18.92,aaebd8088190e4beecdca76b3bf132f83c7ec32355e6235f3d24a22857e49949
Q11-0041,A1,wikipedia,BkiUd6nxK5YsWR0Kjwcq,,3,0,3322,25,0.007525586995785672,132.88,d3ab5b38f6b6d26ce2252373c6ba13c58be7083a5ff79b291faf90ed8a7e95fb
Q11-0042,A1,c4,BkiUb9zxK1Thg9qFcNLj,,2,1,28,25,0.8928571428571429,1.12,cfbe2b019cb25c69c204e9e8b30ed208d5f90c9d4eb0033465c03a2c2fced128
Q11-0043,A1,stackexchange,BkiUaifxK03BfJXwuYfW,,2,0,3318,25,0.007534659433393611,132.72,b875f8f789ac6f38bf6facb3ff8fadc68d9a1c7ce5581ad494d07b5c0eddafa7
Q11-0044,A1,github,BkiUcarxK0zjCsHeaBFT,,2,0,3330,25,0.0075075075075075074,133.2,43c654c83031f9182110f4f700a16c856092ef77cadbdf986dd85cde98df488e
