split,role,model,target,n,mae,rmse,r2,spearman_rho,variant
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_arxiv_val_loss,63,3.34574839018423,3.3985705642866164,-122.54373729666604,0.6753072196620584,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_freelaw_val_loss,63,3.4143173482383156,3.452714361636456,-124.62166420475604,0.7170698924731183,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_pubmed_central_val_loss,63,3.4446360099196864,3.476646043527084,-192.49058355108923,0.6891321044546851,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_wikipedia_en_val_loss,63,3.8699455039002344,3.885017219466728,-283.3019816425433,0.41218827268671715,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_dm_mathematics_val_loss,63,2.723441116193037,2.792630551587486,-42.49911393210929,0.6051747311827957,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_github_val_loss,63,3.6490657069521455,3.6899645567149992,-182.08294401790778,0.6117511520737328,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_stackexchange_val_loss,63,3.5728582561011373,3.594757536025193,-360.4737440879932,0.5272960745396332,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_gutenberg_pg_19_val_loss,63,3.5710102094177882,3.585247612313,-280.0617113993594,0.5037922427035331,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_pile_cc_val_loss,63,3.7956273608403683,3.806368263398426,-326.76236235712696,0.15240975422427036,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_ubuntu_irc_val_loss,63,4.427545880149583,4.451284967887,-205.3629178659283,0.5041282642089093,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_hackernews_val_loss,63,3.5690953844291675,3.583096977386394,-434.60336879954394,0.19215629800307218,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_pubmed_abstracts_val_loss,63,3.632489288109169,3.653819719892895,-288.2565570427462,0.33155721966205837,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_uspto_backgrounds_val_loss,63,3.4337564107381673,3.4500622811846613,-236.09560241219788,0.4431696809276611,closed
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_arxiv_val_loss,63,3.345649071395009,3.3984686988827932,-122.5363314512679,0.6760752688172043,raw
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_freelaw_val_loss,63,3.414505160424226,3.45289109385692,-124.63452479010037,0.7176459293394777,raw
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_pubmed_central_val_loss,63,3.4446079476786235,3.476631647637589,-192.48898116576888,0.6902361751152074,raw
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_wikipedia_en_val_loss,63,3.8699240498493,3.8849938453503654,-283.2985606602233,0.41218827268671715,raw
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_dm_mathematics_val_loss,63,2.7234902403159973,2.7926835126999565,-42.500763834069275,0.6038306451612904,raw
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_github_val_loss,63,3.649062159180415,3.6899610844775936,-182.0825994578787,0.6088709677419355,raw
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_stackexchange_val_loss,63,3.572882165866163,3.594773692534629,-360.4769933569761,0.5295042423605466,raw
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_gutenberg_pg_19_val_loss,63,3.5709921874557327,3.585233470220164,-280.0594940947792,0.5049443164362519,raw
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_pile_cc_val_loss,63,3.795623429140071,3.8063642440954437,-326.7616701615989,0.15077764976958524,raw
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_ubuntu_irc_val_loss,63,4.427547263419258,4.451270379513749,-205.36156522534947,0.5040322580645161,raw
