dataset,indicator,n,valid_n,valid_rate,missing_n,missing_rate,invalid_n,invalid_rate,unit_suspect_n,unit_suspect_rate,outlier_n,outlier_rate,norm_valid_n,norm_zero_n,norm_zero_rate,norm_one_n,norm_one_rate,norm_mean,norm_median,norm_min,norm_max,norm_nonfinite_n,norm_out_of_range_n,norm_unexplained_blank_n
A1,fineweb_edu,51230,51230,1.0,0,0.0,0,0.0,0,0.0,693,0.01352723013859067,51230,257,0.005016591840718329,257,0.005016591840718329,0.49999968580894905,0.4999992910977231,0.0,1.0,0,0,0
A1,fluency_en,51230,51230,1.0,0,0.0,0,0.0,0,0.0,8321,0.16242436072613703,51230,257,0.005016591840718329,256,0.00499707202810853,0.5000006226167601,0.5000021464077833,0.0,1.0,0,0,0
A1,modernbert_cleanliness,51230,51230,1.0,0,0.0,0,0.0,0,0.0,0,0.0,51230,257,0.005016591840718329,257,0.005016591840718329,0.4999993539837083,0.5000020381343108,0.0,1.0,0,0,0
A1,modernbert_readability,51230,51230,1.0,0,0.0,0,0.0,0,0.0,124,0.0024204567636150693,51230,257,0.005016591840718329,257,0.005016591840718329,0.5000000533078989,0.5000004966431362,0.0,1.0,0,0,0
A1,modernbert_reasoning,51230,51217,0.9997462424360726,13,0.0002537575639273863,0,0.0,0,0.0,6129,0.11963693148545775,51217,257,0.005017865161957943,257,0.005017865161957943,0.5000007530223398,0.5,0.0,1.0,0,0,0
A1,modernbert_professionalism,51230,51225,0.999902400936951,5,9.759906304899473e-05,0,0.0,0,0.0,0,0.0,51225,257,0.0050170815031722795,257,0.0050170815031722795,0.499999663200414,0.5,0.0,1.0,0,0,0
A1,dsir_books,51230,51230,1.0,0,0.0,0,0.0,0,0.0,4369,0.0852820612922116,51230,257,0.005016591840718329,257,0.005016591840718329,0.5000001173697383,0.4999984155900167,0.0,1.0,0,0,0
A1,dsir_wiki,51230,51230,1.0,0,0.0,0,0.0,0,0.0,4379,0.08547725941830958,51230,257,0.005016591840718329,257,0.005016591840718329,0.5000004762684792,0.49999950585195063,0.0,1.0,0,0,0
A1,dsir_math,51230,51230,1.0,0,0.0,0,0.0,0,0.0,4300,0.08393519422213547,51230,257,0.005016591840718329,257,0.005016591840718329,0.49999877153714867,0.49999877232571416,0.0,1.0,0,0,0
A1,qurater,51230,51230,1.0,0,0.0,0,0.0,0,0.0,118,0.0023033378879562757,51230,257,0.005016591840718329,257,0.005016591840718329,0.49999953948697834,0.4999999879485343,0.0,1.0,0,0,0
A1,ad_en,51230,51230,1.0,0,0.0,0,0.0,0,0.0,14278,0.2787038844427093,51230,257,0.005016591840718329,253,0.004938512590279134,0.4999997765360468,0.5,0.0,1.0,0,0,0
A1,rps_doc_word_count,51230,51230,1.0,0,0.0,0,0.0,0,0.0,281,0.005485067343353504,51230,0,0.0,75,0.001463985945734921,0.5158712687324953,0.5094157698857147,0.0017808264428922757,1.0,0,0,0
A1,rps_doc_num_sentences,51230,51230,1.0,0,0.0,0,0.0,0,0.0,312,0.006090181534257271,51230,0,0.0,855,0.016689439781378098,0.5155323916978094,0.5094157697196083,0.0018914174906293605,1.0,0,0,0
A1,rps_doc_unigram_entropy,51230,51230,1.0,0,0.0,0,0.0,0,0.0,296,0.005777864532500488,51230,247,0.00482139371462034,257,0.005016591840718329,0.5000006574139397,0.4999999669502974,0.0,1.0,0,0,0
A1,rps_doc_frac_unique_words,51230,51230,1.0,0,0.0,0,0.0,0,0.0,0,0.0,51230,257,0.005016591840718329,0,0.0,0.5000786347504806,0.5,0.0,0.995,0,0,0
A1,rps_doc_frac_no_alph_words,51230,51230,1.0,0,0.0,0,0.0,0,0.0,3788,0.07394105016591841,51230,0,0.0,257,0.005016591840718329,0.5000135557539972,0.5,0.0050000000000000044,1.0,0,0,0
A1,rps_doc_frac_chars_top_2gram,51230,51230,1.0,0,0.0,0,0.0,2,3.903962521959789e-05,3762,0.07343353503806363,51230,253,0.004938512590279134,0,0.0,0.4953490636807098,0.49999768203027556,0.0,0.917285,0,0,0
A1,rps_doc_frac_chars_top_3gram,51230,51230,1.0,0,0.0,0,0.0,2,3.903962521959789e-05,2499,0.04878001171188757,51230,256,0.00499707202810853,0,0.0,0.4710092896544111,0.5000009396396818,0.0,0.774725,0,0,0
A1,rps_lines_uppercase_letter_fraction,51230,51230,1.0,0,0.0,0,0.0,0,0.0,1,1.9519812609798946e-05,51230,257,0.005016591840718329,257,0.005016591840718329,0.5000000409874384,0.4999998998574618,0.0,1.0,0,0,0
A1,rps_lines_ending_with_terminal_punctution_mark,51230,51230,1.0,0,0.0,0,0.0,0,0.0,0,0.0,51230,0,0.0,0,0.0,0.5225115596406562,0.515345,0.00896,0.995,0,0,0
A1,rps_lines_numerical_chars_fraction,51230,51230,1.0,0,0.0,0,0.0,0,0.0,4133,0.08067538551629905,51230,0,0.0,0,0.0,0.49957547484516956,0.5094157697230013,1.7715427917565485e-19,0.999988361975286,0,0,0
A1,rps_doc_mean_word_length,51230,51230,1.0,0,0.0,0,0.0,0,0.0,5925,0.11565488971305875,51230,0,0.0,0,0.0,0.4876968514514057,0.5094157697472648,1.7847402758443867e-35,0.9999969819363125,0,0,0
A2,fineweb_edu,17523,17523,1.0,0,0.0,0,0.0,0,0.0,1034,0.059008160703075956,17523,1,5.706785367802317e-05,319,0.01820464532328939,0.8340908180502736,0.8957092497350606,0.0,1.0,0,0,0
A2,fluency_en,17523,17523,1.0,0,0.0,0,0.0,0,0.0,81,0.004622496147919877,17523,1,5.706785367802317e-05,1,5.706785367802317e-05,0.748954628089408,0.7768610539379671,0.0,1.0,0,0,0
A2,modernbert_cleanliness,17523,17523,1.0,0,0.0,0,0.0,0,0.0,0,0.0,17523,0,0.0,73,0.004165953318495692,0.8640549285804973,0.8742805739913974,0.011260488581930564,1.0,0,0,0
A2,modernbert_readability,17523,17523,1.0,0,0.0,0,0.0,0,0.0,0,0.0,17523,0,0.0,24,0.001369628488272556,0.8053737102875189,0.8135621250041929,0.04919431708680577,1.0,0,0,0
A2,modernbert_reasoning,17523,17523,1.0,0,0.0,0,0.0,0,0.0,17383,0.9920105004850768,17523,0,0.0,3284,0.18741083147862808,0.9811355190550096,0.986884314646173,0.011870442930612254,1.0,0,0,0
A2,modernbert_professionalism,17523,17523,1.0,0,0.0,0,0.0,0,0.0,0,0.0,17523,0,0.0,3411,0.19465844889573702,0.9790085455045845,0.9851853183038592,0.15205717397816085,1.0,0,0,0
A2,dsir_books,17523,17523,1.0,0,0.0,0,0.0,0,0.0,17098,0.9757461621868402,17523,2463,0.14055812360897108,0,0.0,0.028508081759983053,0.019153650338595743,0.0,0.9780353357465156,0,0,0
A2,dsir_wiki,17523,17523,1.0,0,0.0,0,0.0,0,0.0,17053,0.9731781087713292,17523,2124,0.12121212121212122,0,0.0,0.029660872728258018,0.02001855758033974,0.0,0.9781663543802782,0,0,0
A2,dsir_math,17523,17523,1.0,0,0.0,0,0.0,0,0.0,16755,0.9561718883752782,17523,1347,0.07687039890429721,0,0.0,0.03539129429021137,0.024019048793668292,0.0,0.9797811140127527,0,0,0
A2,qurater,17523,17523,1.0,0,0.0,0,0.0,0,0.0,521,0.02973235176625007,17523,0,0.0,1740,0.09929806539976031,0.949322841621816,0.9737885810810811,0.014705892991130877,1.0,0,0,0
A2,ad_en,17523,17523,1.0,0,0.0,0,0.0,0,0.0,1324,0.07555783826970268,17523,0,0.0,10,0.0005706785367802317,0.6827907216903832,0.7523476882561188,0.01819099238502299,1.0,0,0,0
A2,rps_doc_word_count,17523,17523,1.0,0,0.0,0,0.0,0,0.0,702,0.040061633281972264,17523,0,0.0,1,5.706785367802317e-05,0.09535047484516383,0.07801876948228482,0.003843962060054282,1.0,0,0,0
A2,rps_doc_num_sentences,17523,17523,1.0,0,0.0,0,0.0,0,0.0,965,0.05507047879929236,17523,0,0.0,5,0.00028533926839011586,0.10412111520761216,0.08168380637107173,0.0015929514369932617,1.0,0,0,0
A2,rps_doc_unigram_entropy,17523,17523,1.0,0,0.0,0,0.0,0,0.0,1,5.706785367802317e-05,17523,0,0.0,405,0.023112480739599383,0.9465473763479422,0.9632846625803593,0.013909999999999999,1.0,0,0,0
A2,rps_doc_frac_unique_words,17523,17523,1.0,0,0.0,0,0.0,0,0.0,0,0.0,17523,733,0.041830736745990985,0,0.0,0.0440383125735996,0.029041361906795685,0.0,0.995,0,0,0
A2,rps_doc_frac_no_alph_words,17523,17523,1.0,0,0.0,0,0.0,0,0.0,426,0.02431090566683787,17523,0,0.0,1,5.706785367802317e-05,0.30958223176404415,0.2939798409715988,0.02161898088810421,1.0,0,0,0
A2,rps_doc_frac_chars_top_2gram,17523,17523,1.0,0,0.0,0,0.0,0,0.0,25,0.0014266963419505793,17523,0,0.0,0,0.0,0.7636306004819057,0.8114368537618606,0.008299490980835489,0.917285,0,0,0
A2,rps_doc_frac_chars_top_3gram,17523,17523,1.0,0,0.0,0,0.0,0,0.0,40,0.002282714147120927,17523,1,5.706785367802317e-05,0,0.0,0.6696718318103421,0.719208994797399,0.0,0.774725,0,0,0
A2,rps_lines_uppercase_letter_fraction,17523,17523,1.0,0,0.0,0,0.0,0,0.0,2,0.00011413570735604634,17523,58,0.003309935513325344,2,0.00011413570735604634,0.48799375495141384,0.5223061651361849,0.0,1.0,0,0,0
