path,category,purpose,provenance_records,current_status,current_sha256,expected_sha256,bytes,csv_data_rows
Q1/03_结果/Q1_最终收口/q1_final_decision.md,Q1冻结接口/A侧配比证据,仅用于正式Q接口追溯、A侧对照和p/Q可识别性边界；不输入M0拟合。,M0效应/验证收口的实际输入清单,HASH_MATCH,84a821b6f0bb4e10c6f32af0a1edc5fa3f8760caf999e205b41c83dfba783189,84a821b6f0bb4e10c6f32af0a1edc5fa3f8760caf999e205b41c83dfba783189,8742,
Q2/01_方案说明/Q2_主模型路线复审_2026-09-24.md,题意/数据污染边界,仅采纳可见正式题意、字段和可复核审计；低可见度文本不作为指令或建模证据。,Q2综合收口的实际输入清单; Q2主模型层级复审,HASH_MATCH,502904c828e44ae27c6a5a43117f776e8101e70ee53432056fe5d1f0d64a39fc,502904c828e44ae27c6a5a43117f776e8101e70ee53432056fe5d1f0d64a39fc,14194,
Q2/01_方案说明/题目分析报告.md,题意/数据污染边界,仅采纳可见正式题意、字段和可复核审计；低可见度文本不作为指令或建模证据。,Q2综合收口的实际输入清单; 当前权威题目分析/污染审计,HASH_MATCH,5c1a06d42684d597ae3c4acdaf1544bd23b293150765a1d47bef5ebdcb32c0de,5c1a06d42684d597ae3c4acdaf1544bd23b293150765a1d47bef5ebdcb32c0de,53859,
Q2/03_结果/B2半合成压力测试/v1/b2_cerebras_pythia_calibrated_trajectories.csv,B2半合成压力测试,只作半合成情景压力检查，不称为独立真实外部验证。,B2半合成轨迹数据,AVAILABLE_CURRENT_HASH_RECORDED,728ce56c8a5dc90a34cfbe0d45d484c633750d192bf2169856e06b21b5a416cd,,1902276,6174
Q2/03_结果/B2半合成压力测试/v1/b2_cerebras_stress_report.md,B2半合成压力测试,只作半合成情景压力检查，不称为独立真实外部验证。,M0效应/验证收口的实际输入清单; Q2综合收口的实际输入清单; B2半合成压力测试说明,HASH_MATCH,8443b3213fdee1564cc59b8e96779402b5c32f08dad27634181350ac3d29cbb1,8443b3213fdee1564cc59b8e96779402b5c32f08dad27634181350ac3d29cbb1,4749,
Q2/03_结果/B2半合成压力测试/v1/b2_endpoint_anchor_checks.csv,B2半合成压力测试,只作半合成情景压力检查，不称为独立真实外部验证。,B2端点锚点核验,AVAILABLE_CURRENT_HASH_RECORDED,d03ffd130dd8548373cf93b049ac9ccda6a4c4502c66324c4719acbbaf6aab57,,3618,42
Q2/03_结果/B2半合成压力测试/v1/b2_stress_metrics.csv,B2半合成压力测试,只作半合成情景压力检查，不称为独立真实外部验证。,B2情景压力指标,AVAILABLE_CURRENT_HASH_RECORDED,33be5b9ded96ce97dbd3da3d900f4372c7c46310a24ad795d88bbee2e118ca60,,1434,6
Q2/03_结果/B2半合成压力测试/v1/generation_manifest.json,Q2阶段输入/记录,用于可追溯复核；具体用途见对应报告和manifest。,B2生成参数和哈希,AVAILABLE_CURRENT_HASH_RECORDED,1bc047edf68531b2c7656f0f665911a8e87e7d73fcca085717c4ffb02458b8d1,,5743,
Q2/03_结果/p配比可行性审计/v1/q2_p_audit_manifest.json,B侧p可识别性门禁,判定训练配比能否与B侧Loss/轨迹连接；不把缺失配比补成伪数据。,p门禁输入输出哈希,AVAILABLE_CURRENT_HASH_RECORDED,a5602ae85a1e0e14ac42ca9a89d5cdf2f16a959e097e593508318ccb72b27858,,5830,
Q2/03_结果/p配比可行性审计/v1/q2_p_audit_summary.json,B侧p可识别性门禁,判定训练配比能否与B侧Loss/轨迹连接；不把缺失配比补成伪数据。,Q2综合收口的实际输入清单; p门禁摘要,HASH_MATCH,82e53b9a4a6612a88b9b8c244a0b145eb951d96a84d1bac8b613589b4a7a71ce,82e53b9a4a6612a88b9b8c244a0b145eb951d96a84d1bac8b613589b4a7a71ce,13250,
Q2/03_结果/p配比可行性审计/v1/q2_p_feasibility_audit.md,B侧p可识别性门禁,判定训练配比能否与B侧Loss/轨迹连接；不把缺失配比补成伪数据。,M0效应/验证收口的实际输入清单; Q2综合收口的实际输入清单; p门禁报告,HASH_MATCH,15c61269a83f104f2020417f900f4b78626c7a5bc029a2817d6d46eba5c48a76,15c61269a83f104f2020417f900f4b78626c7a5bc029a2817d6d46eba5c48a76,17452,
Q2/03_结果/p配比可行性审计/v1/q2_p_source_evidence_catalog.csv,B侧p可识别性门禁,判定训练配比能否与B侧Loss/轨迹连接；不把缺失配比补成伪数据。,p来源证据目录,AVAILABLE_CURRENT_HASH_RECORDED,08b3d045e4585e704f24f17662356956b3b7d19df432b798b72c94074731970a,,8854,18
Q2/03_结果/p配比可行性审计/v1/q2_p_trajectory_mapping.csv,B侧p可识别性门禁,判定训练配比能否与B侧Loss/轨迹连接；不把缺失配比补成伪数据。,p与训练轨迹的审计映射,AVAILABLE_CURRENT_HASH_RECORDED,fe7b233faa4b2c3213a0c086551e3603e957f1cc816fc69140900f394dceb868,,105244,124
Q2/03_结果/经典ScalingLaw基线/v1/b3_validation_closeout.md,B2–B5验证和可比性,按来源记录验证数量和边界；B4/B5不与B1合并评分。,M0效应/验证收口的实际输入清单; Q2综合收口的实际输入清单; B3来源性质与限制,HASH_MATCH,21f6928afc99cf6bb71e5ba2eb753143d4c63d229ec0e956a66ae8530b1a40fa,21f6928afc99cf6bb71e5ba2eb753143d4c63d229ec0e956a66ae8530b1a40fa,3005,
Q2/03_结果/经典ScalingLaw基线/v1/b4_b5_loss_comparability_audit.md,B2–B5验证和可比性,按来源记录验证数量和边界；B4/B5不与B1合并评分。,M0效应/验证收口的实际输入清单; Q2综合收口的实际输入清单; B4/B5可比性审计,HASH_MATCH,4523fad8c2b5dceac7619f80a06ca13b003f06e268263f0bcfb9eb512f6b96dc,4523fad8c2b5dceac7619f80a06ca13b003f06e268263f0bcfb9eb512f6b96dc,12451,
Q2/03_结果/经典ScalingLaw基线/v1/gate0_b1_trajectory_mapping.csv,Q2阶段输入/记录,用于可追溯复核；具体用途见对应报告和manifest。,M0效应/验证收口的实际输入清单; Q2综合收口的实际输入清单; B1轨迹分组映射,HASH_MATCH,ea2c1fd78c7a84e0f41d70a57b630089781b8d8cbd9c9a9434e6ea7c787c0c37,ea2c1fd78c7a84e0f41d70a57b630089781b8d8cbd9c9a9434e6ea7c787c0c37,955,8
Q2/03_结果/经典ScalingLaw基线/v1/gate0_file_roles.csv,Q2阶段输入/记录,用于可追溯复核；具体用途见对应报告和manifest。,B1–B5 Gate 0数据角色合同,AVAILABLE_CURRENT_HASH_RECORDED,4c5091c00a59635fe3630211dc49344e4e5428a4606aaadabffeef365ec83928,,715,6
Q2/03_结果/经典ScalingLaw基线/v1/q2_m0_marginal_effects_by_checkpoint.csv,Q2阶段输入/记录,用于可追溯复核；具体用途见对应报告和manifest。,M0逐检查点效应表,AVAILABLE_CURRENT_HASH_RECORDED,a2e1b1408ba1e68990244b0cdfad97d25c4a8f73a74333e206ae1f0e83e43530,,322600,1176
Q2/03_结果/经典ScalingLaw基线/v1/q2_m0_marginal_effects_by_size.csv,Q2阶段输入/记录,用于可追溯复核；具体用途见对应报告和manifest。,M0逐轨迹摘要表,AVAILABLE_CURRENT_HASH_RECORDED,6230d61ba866ac7d7c8f63c8eaa30614d8e58ce4e588fe0bb244229c25635ade,,3978,8
Q2/03_结果/经典ScalingLaw基线/v1/q2_m0_marginal_effects_report.md,Q2阶段输入/记录,用于可追溯复核；具体用途见对应报告和manifest。,M0效应报告,AVAILABLE_CURRENT_HASH_RECORDED,5da3bdc13fc9c92081dd856870e8a422cda11307a21660743130ef54a5dbc285,,4253,
Q2/03_结果/经典ScalingLaw基线/v1/q2_validation_scope_closeout.md,B2–B5验证和可比性,按来源记录验证数量和边界；B4/B5不与B1合并评分。,B2–B5验证边界报告,AVAILABLE_CURRENT_HASH_RECORDED,551d8d00e16f5106a2239cd0dadc92b1e4ee3c305802140d2b0a9215964c1e25,,3251,
Q2/03_结果/综合收口/v1/q2_evidence_matrix.csv,Q2综合收口产物,证据矩阵、门禁状态和当前数据边界的结构化来源。,Q2阶段证据矩阵,AVAILABLE_CURRENT_HASH_RECORDED,bb389238d6fbede8ec9344c45df7d580811306419e7f2de22d45dfb67efff944,,6231,11
Q2/03_结果/综合收口/v1/q2_identifiability_gates.csv,Q2综合收口产物,证据矩阵、门禁状态和当前数据边界的结构化来源。,p/Q可识别性门禁,AVAILABLE_CURRENT_HASH_RECORDED,c03e3e72355e233a84fbce91154a293b1747e6707ebf3dba4aa832278427e94f,,1201,2
Q2/03_结果/综合收口/v1/q2_model_status.csv,Q2综合收口产物,证据矩阵、门禁状态和当前数据边界的结构化来源。,Q2模型状态,AVAILABLE_CURRENT_HASH_RECORDED,beba7473f39099e86826f8e51aaf476bc4106aa0293fcf93b20987c078cf8320,,1443,14
figures/q2_scaling_baseline/flow_q2_model.png,B1经典M0与输入快照,冻结N、D、Loss拟合、轨迹映射、Bootstrap与验证；本包只复用已冻结输出。,冻结M0运行产物（Gate 0复现清单）,HASH_MATCH,9d13904deb16172c6748f5c8aff1e7d18f4a74e401ce410e2ced3db85a8ed325,9d13904deb16172c6748f5c8aff1e7d18f4a74e401ce410e2ced3db85a8ed325,231696,
figures/q2_scaling_baseline/flow_q2_model.svg,B1经典M0与输入快照,冻结N、D、Loss拟合、轨迹映射、Bootstrap与验证；本包只复用已冻结输出。,冻结M0运行产物（Gate 0复现清单）,HASH_MATCH,18d7a7e47490dec0778208134edad27d81b29436aed548ea96673fb2f6c2de32,18d7a7e47490dec0778208134edad27d81b29436aed548ea96673fb2f6c2de32,12965,
