key,数值,单位,生成脚本/出处,模型或场景,登记时间,备注
Q1_A1记录数,51230,条,results/q1_1/v1/q1_1_results.md,问题一 A1 抽样集,2026-09-23,由论文问题一引用
Q1_A2记录数,17523,条,同上,问题一 A2 扩展集(arxiv),2026-09-23,由论文问题一引用
Q1_A3记录数,203752,条,同上,问题一 A3 扩展集(github),2026-09-23,由论文问题一引用
Q1_Qeq宏平均,0.49622,---,results/q1_1/v1/a1_macro_summary.csv,等权候选 A1 七域宏平均,2026-09-23,由论文问题一引用
Q1_Qeq区间下,0.49491,---,同上,2000 次 bootstrap 95% 下界,2026-09-23,由论文问题一引用
Q1_Qeq区间上,0.49763,---,同上,2000 次 bootstrap 95% 上界,2026-09-23,由论文问题一引用
Q1_Qhuber宏平均,0.49848,---,同上,Huber 候选 A1 七域宏平均,2026-09-23,由论文问题一引用
Q1_同域迁移差_a2_Qeq,-0.00114,---,results/q1_1/v1/same_domain_differences.csv,A2-A1，区间跨零,2026-09-23,由论文问题一引用
Q1_同域迁移差_a3_Qeq,-0.00056,---,同上,A3-A1，区间跨零,2026-09-23,由论文问题一引用
Q1_Huber_delta,0.39655,---,results/q1_1/v1/manifest.json,"1.345*s0, s0=0.29484",2026-09-23,由论文问题一引用
Q1_权重_主值个数,18,个,results/q1_1/v1/indicator_weights.csv,18 个指标权重同为 0.045492,2026-09-23,原误记为 19，2026-09-24 按团队数据更正
Q1_敏感性_P95差_剔7字段,0.113048,---,results/q1_1/v1/sample_score_sensitivity.csv,最剧烈场景,2026-09-23,由论文问题一引用
Q1_敏感性_Spearman_剔7字段,0.872404,---,同上,排序仍稳,2026-09-23,由论文问题一引用
Q1_冲突度中位_arxiv,0.4382,---,results/q1_2_conflict_model/v1/domain_summary.csv,最高域,2026-09-23,由论文问题一引用
Q1_冲突度中位_stackexchange,0.2712,---,同上,最低域,2026-09-23,由论文问题一引用
Q1_冲突阈值q95_arxiv,0.4660,---,results/q1_2_conflict_model/v1/thresholds.csv,A2 套用同一阈值,2026-09-23,由论文问题一引用
Q1_最高冲突指标对,0.5993,---,results/q1_2_conflict_model/v1/q1_2_conflict_report.md,dsir_math x rps_doc_unigram_entropy,2026-09-23,由论文问题一引用
