source_row,index,mixture_missing_count,mixture_invalid_count,mixture_nonfinite_count,negative_share_count,zero_share_count,raw_share_sum,absolute_raw_sum_deviation_from_one,zero_sum_row,loss_match_count,loss_missing_count,loss_invalid_count,loss_nonfinite_count,duplicate_raw_recipe_group_size,duplicate_recipe_loss_disagreement,max_loss_range_within_duplicate_recipe,loss_target_ranges_json,row_status
2,1,0,0,0,0,14,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
3,2,0,0,0,0,3,0.998,0.002,False,1,0,0,0,1,False,,{},PASS
4,3,0,0,0,0,10,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
5,4,0,0,0,0,6,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
6,5,0,0,0,0,5,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
7,6,0,0,0,0,7,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
8,7,0,0,0,0,4,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
9,8,0,0,0,0,12,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
10,9,0,0,0,0,14,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
11,10,0,0,0,0,10,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
12,11,0,0,0,0,11,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
13,12,0,0,0,0,9,0.998,0.002,False,1,0,0,0,1,False,,{},PASS
14,13,0,0,0,0,11,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
15,14,0,0,0,0,2,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
16,15,0,0,0,0,3,0.998,0.002,False,1,0,0,0,1,False,,{},PASS
17,16,0,0,0,0,3,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
18,17,0,0,0,0,4,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
19,18,0,0,0,0,4,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
20,19,0,0,0,0,3,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
21,20,0,0,0,0,5,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
22,21,0,0,0,0,8,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
23,22,0,0,0,0,7,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
24,23,0,0,0,0,7,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
25,24,0,0,0,0,11,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
26,25,0,0,0,0,10,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
27,26,0,0,0,0,6,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
28,27,0,0,0,0,3,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
29,28,0,0,0,0,7,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
30,29,0,0,0,0,10,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
31,30,0,0,0,0,10,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
32,31,0,0,0,0,6,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
33,32,0,0,0,0,12,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
34,33,0,0,0,0,13,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
35,34,0,0,0,0,7,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
36,35,0,0,0,0,12,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
37,36,0,0,0,0,9,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
38,37,0,0,0,0,3,0.998,0.002,False,1,0,0,0,1,False,,{},PASS
39,38,0,0,0,0,11,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
40,39,0,0,0,0,5,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
41,40,0,0,0,0,10,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
42,41,0,0,0,0,2,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
43,42,0,0,0,0,4,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
44,43,0,0,0,0,5,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
45,44,0,0,0,0,7,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
46,45,0,0,0,0,8,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
47,46,0,0,0,0,4,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
48,47,0,0,0,0,9,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
49,48,0,0,0,0,10,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
50,49,0,0,0,0,12,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
51,50,0,0,0,0,5,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
52,51,0,0,0,0,13,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
53,52,0,0,0,0,8,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
54,53,0,0,0,0,7,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
55,54,0,0,0,0,11,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
56,55,0,0,0,0,8,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
57,56,0,0,0,0,2,1.002,0.002,False,1,0,0,0,1,False,,{},PASS
58,57,0,0,0,0,14,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
59,58,0,0,0,0,12,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
60,59,0,0,0,0,12,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
61,60,0,0,0,0,9,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
62,61,0,0,0,0,7,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
63,62,0,0,0,0,4,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
64,63,0,0,0,0,7,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
65,64,0,0,0,0,6,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
66,65,0,0,0,0,8,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
67,66,0,0,0,0,8,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
68,67,0,0,0,0,6,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
69,68,0,0,0,0,8,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
70,69,0,0,0,0,10,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
71,70,0,0,0,0,13,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
72,71,0,0,0,0,6,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
73,72,0,0,0,0,2,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
74,73,0,0,0,0,8,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
75,74,0,0,0,0,10,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
76,75,0,0,0,0,4,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
77,76,0,0,0,0,10,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
78,77,0,0,0,0,8,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
79,78,0,0,0,0,8,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
80,79,0,0,0,0,11,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
81,80,0,0,0,0,6,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
82,81,0,0,0,0,8,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
83,82,0,0,0,0,10,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
84,83,0,0,0,0,12,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
85,84,0,0,0,0,8,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
86,85,0,0,0,0,8,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
87,86,0,0,0,0,4,0.998,0.002,False,1,0,0,0,1,False,,{},PASS
88,87,0,0,0,0,2,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
89,88,0,0,0,0,7,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
90,89,0,0,0,0,7,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
91,90,0,0,0,0,8,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
92,91,0,0,0,0,8,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
93,92,0,0,0,0,8,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
94,93,0,0,0,0,9,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
95,94,0,0,0,0,6,1.000,0.000,False,1,0,0,0,1,False,,{},PASS
96,95,0,0,0,0,3,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
97,96,0,0,0,0,11,0.999,0.001,False,1,0,0,0,1,False,,{},PASS
98,97,0,0,0,0,4,1.002,0.002,False,1,0,0,0,1,False,,{},PASS
99,98,0,0,0,0,7,1.001,0.001,False,1,0,0,0,1,False,,{},PASS
