核对项,论文报告值,工作区核对来源,工作区核对值,结论与口径说明
A1预处理行数,51230,"Q1/03_结果/00_公共预处理/v1/a1_preprocessed.csv.gz",51230,一致；按存档预处理输出核对
A2预处理行数,17523,"Q1/03_结果/00_公共预处理/v1/a2_preprocessed.csv.gz",17523,一致；按存档预处理输出核对
A3预处理行数,203752,"Q1/03_结果/00_公共预处理/v1/a3_preprocessed.csv.gz",203752,一致；按存档预处理输出核对
A1-A3合计,272505,"a1_preprocessed.csv.gz / a2_preprocessed.csv.gz / a3_preprocessed.csv.gz",272505,一致；51230+17523+203752
A1 q_equal 域宏平均,0.49622,"results/q1_1/v1/a1_macro_summary.csv",0.4962230100,一致；论文四舍五入至5位小数
A1 q_huber 域宏平均,0.49848,"results/q1_1/v1/a1_macro_summary.csv",0.4984781048,一致；论文四舍五入至5位小数
A2 arxiv q_equal 域分数,0.53096,"results/q1_1/v1/domain_summary.csv domain_score",0.5309591176,一致；须使用 domain_score，不是 mean_sample_score
A2 arxiv q_huber 域分数,0.55997,"results/q1_1/v1/domain_summary.csv domain_score",0.5599738811,一致；须使用 domain_score，不是 mean_sample_score
A3 github q_equal 域分数,0.40394,"results/q1_1/v1/domain_summary.csv domain_score",0.4039371675,一致；须使用 domain_score，不是 mean_sample_score
A3 github q_huber 域分数,0.38887,"results/q1_1/v1/domain_summary.csv domain_score",0.3888717821,一致；须使用 domain_score，不是 mean_sample_score
A1 arxiv 冲突度中位数,0.4382,"results/q1_2_conflict_model/v1/domain_summary.csv",0.4382232734,一致；四位小数
A1 arxiv q95阈值,0.4660,"results/q1_2_conflict_model/v1/thresholds.csv",0.4660317515,一致；四位小数
A1 arxiv 高冲突率,0.0500,"results/q1_2_conflict_model/v1/domain_summary.csv",0.0500352361,一致；按该域自身 q95 阈值定义
A1 book 高冲突率,0.0526,"results/q1_2_conflict_model/v1/domain_summary.csv",0.0526315789,一致；小样本域 n=171
Q1 冲突率正文概括,A1各域恒为0.0500,"paper.tex 第5.4节文字与表5",book域0.0526,不一致；应改为 book 域 0.0526、其他域约0.05，并解释经验分位数有限样本效应
A2 arxiv 冲突度中位数,0.4393,"results/q1_2_conflict_model/v1/domain_summary.csv",0.4392793312,一致；四位小数
A2 arxiv 高冲突率,0.0447,"results/q1_2_conflict_model/v1/domain_summary.csv",0.0447411973,一致；套用 A1 域阈值
A3 github 冲突度中位数,0.3236,"results/q1_2_conflict_model/v1/domain_summary.csv",0.3236476275,一致；四位小数
A3 github 高冲突率,0.0514,"results/q1_2_conflict_model/v1/domain_summary.csv",0.0513761828,一致；套用 A1 域阈值
Q1.3 均值基线分组CV标准化MSE,1.00448,"results/q1_3/v1/full_training_model_selection.csv",1.0044751468,一致；论文五位小数
Q1.3 参考分量OLS分组CV标准化MSE,0.40032,"results/q1_3/v1/full_training_model_selection.csv",0.4003161514,一致；论文五位小数
Q1.3 单纯形岭回归分组CV标准化MSE,0.39860,"results/q1_3/v1/full_training_model_selection.csv",0.3985994161,一致；论文五位小数，选定模型
