核对项,新版论文值,HUAWEI-Cup核对来源,HUAWEI-Cup核对值,结论与说明
A1预处理行数,51230,Q1/03_结果/00_公共预处理/v1/a1_preprocessed.csv.gz,51230,一致
A2预处理行数,17523,Q1/03_结果/00_公共预处理/v1/a2_preprocessed.csv.gz,17523,一致
A3预处理行数,203752,Q1/03_结果/00_公共预处理/v1/a3_preprocessed.csv.gz,203752,一致
A1-A3合计,272505,三份公共预处理gzip行数之和,272505,一致
A1 q_equal域宏平均,0.496223,Q1/03_结果/Q1.1/v1/a1_macro_summary.csv,0.4962230100,一致
A1 q_huber域宏平均,0.498478,Q1/03_结果/Q1.1/v1/a1_macro_summary.csv,0.4984781048,一致
A2 arxiv q_equal域分,0.53096,Q1/03_结果/Q1.1/v1/domain_summary.csv domain_score,0.5309591176,一致；按domain_score口径
A2 arxiv q_huber域分,0.55997,Q1/03_结果/Q1.1/v1/domain_summary.csv domain_score,0.5599738811,一致；按domain_score口径
A3 github q_equal域分,0.40394,Q1/03_结果/Q1.1/v1/domain_summary.csv domain_score,0.4039371675,一致；按domain_score口径
A3 github q_huber域分,0.38887,Q1/03_结果/Q1.1/v1/domain_summary.csv domain_score,0.3888717821,一致；按domain_score口径
A1 arxiv 冲突度中位数,0.4382,Q1/03_结果/Q1.2/v1/domain_summary.csv,0.4382232734,一致
A1 arxiv q95阈值,0.4660,Q1/03_结果/Q1.2/v1/thresholds.csv,0.4660317515,一致
A1 arxiv 超阈条数与比例,71/1419；0.0500,Q1/03_结果/Q1.2/v1/domain_summary.csv,71/1419；0.0500352361,一致；论文按显示精度四舍五入
A1 book 超阈条数与比例,9/171；0.0526,Q1/03_结果/Q1.2/v1/domain_summary.csv,9/171；0.0526315789,数值一致
A1 book 阈值并列比例,正文说存在并列, Q1/03_结果/Q1.2/v1/domain_summary.csv threshold_tie_rate,0.0,解释不一致；结果文件未发现阈值并列
A1各域高冲突率恒占5%,是,domain_summary.csv / thresholds.csv,A1 book 0.052632；有限样本率并非恒等0.05,结论不成立；需按实际比例改写
A2 arxiv 高冲突率,0.0447,Q1/03_结果/Q1.2/v1/domain_summary.csv,0.0447411973,数值一致；也反证所有样本恒占5%的说法
A3 github 高冲突率,0.0514,Q1/03_结果/Q1.2/v1/domain_summary.csv,0.0513761828,数值一致；也反证所有样本恒占5%的说法
Q1 单纯形岭回归分组CV MSE,0.39860,Q1/03_结果/Q1.3/v1/full_training_model_selection.csv,0.3985994161,一致
Q1 参考分量OLS分组CV MSE,0.40032,Q1/03_结果/Q1.3/v1/full_training_model_selection.csv,0.4003161514,一致
Q1 均值基线分组CV MSE,1.00448,Q1/03_结果/Q1.3/v1/full_training_model_selection.csv,1.0044751468,一致
Q1 1M主模型留出集R2,0.6189,Q1/03_结果/Q1.3/v1/holdout_metrics.csv closed 13目标宏平均,0.6188879,一致
Q1 60M主模型留出集R2,-7.9336,Q1/03_结果/Q1.3/v1/holdout_metrics.csv closed 13目标宏平均,-7.9335695,一致
Q1 1B主模型留出集R2,-810.12,Q1/03_结果/Q1.3/v1/holdout_metrics.csv closed 13目标宏平均,-810.1196,一致
Q1 10B估计表检查RMSE,3.6016,Q1/03_结果/Q1.3/v1/estimate_consistency_metrics.csv closed 13目标宏平均,3.60155,一致；不是独立留出验证
Q1 70B估计表检查RMSE,3.9848,Q1/03_结果/Q1.3/v1/estimate_consistency_metrics.csv closed 13目标宏平均,3.98477,一致；不是独立留出验证
Q1 p+Q nested OOF标准化RMSE,0.763354,Q1/03_结果/Q1.3/pq_extension_v1/model_summary.csv direct_only q_huber_candidate,0.7633536425,一致；478/512条共同支持样本
Q1 p+Q比较训练共同样本量,正文未报告,Q1/03_结果/Q1.3/pq_extension_v1/model_summary.csv n_recipes,478/512,需在表注报告映射direct_only及共同支持规则
Q1 p+Q 1M相对二次模型标准化RMSE变化,+0.188977,Q1/03_结果/Q1.3/pq_extension_v1/paired_comparison.csv,0.1889766120,一致；n=248，正值表示误差变大
Q1 p+Q 60M相对二次模型标准化RMSE变化,-0.090549,Q1/03_结果/Q1.3/pq_extension_v1/paired_comparison.csv,-0.0905488643,一致；n=248，负值表示该切分误差略低
